"band","ext_time","observation_date","behavior_type","observed","years","est_age","sex","Notes"
"140167106",73,"6/10/2023","passive",0,5,11,"F",""
"140167106",73,"6/10/2023","kick",0,5,11,"F",""
"140167106",73,"6/10/2023","bite",1,5,11,"F",""
"140167106",73,"6/10/2023","run_and_hide",0,5,11,"F",""
"140167106",73,"6/10/2023","hide",0,5,11,"F",""
"140167106",73,"6/10/2023","regurgitate",0,5,11,"F",""
"140167106",73,"6/10/2023","vocalize",1,5,11,"F",""
"246108721",50,"6/10/2023","passive",1,6,10,"F","2023 PCR"
"246108721",50,"6/10/2023","kick",0,6,10,"F","2023 PCR"
"246108721",50,"6/10/2023","bite",0,6,10,"F","2023 PCR"
"246108721",50,"6/10/2023","run_and_hide",0,6,10,"F","2023 PCR"
"246108721",50,"6/10/2023","hide",0,6,10,"F","2023 PCR"
"246108721",50,"6/10/2023","regurgitate",0,6,10,"F","2023 PCR"
"246108721",50,"6/10/2023","vocalize",0,6,10,"F","2023 PCR"
"246109184",49,"6/10/2023","passive",0,2,7,"M","2023 PCR"
"246109184",49,"6/10/2023","kick",1,2,7,"M","2023 PCR"
"246109184",49,"6/10/2023","bite",0,2,7,"M","2023 PCR"
"246109184",49,"6/10/2023","run_and_hide",0,2,7,"M","2023 PCR"
"246109184",49,"6/10/2023","hide",0,2,7,"M","2023 PCR"
"246109184",49,"6/10/2023","regurgitate",0,2,7,"M","2023 PCR"
"246109184",49,"6/10/2023","vocalize",0,2,7,"M","2023 PCR"
"140167067",19,"6/12/2023","passive",0,3,7,NA,NA
"140167067",19,"6/12/2023","kick",0,3,7,NA,NA
"140167067",19,"6/12/2023","bite",0,3,7,NA,NA
"140167067",19,"6/12/2023","run_and_hide",1,3,7,NA,NA
"140167067",19,"6/12/2023","hide",0,3,7,NA,NA
"140167067",19,"6/12/2023","regurgitate",0,3,7,NA,NA
"140167067",19,"6/12/2023","vocalize",0,3,7,NA,NA
"246110550",20,"6/12/2023","passive",0,1,4,NA,NA
"246110550",20,"6/12/2023","kick",0,1,4,NA,NA
"246110550",20,"6/12/2023","bite",1,1,4,NA,NA
"246110550",20,"6/12/2023","run_and_hide",1,1,4,NA,NA
"246110550",20,"6/12/2023","hide",0,1,4,NA,NA
"246110550",20,"6/12/2023","regurgitate",1,1,4,NA,NA
"246110550",20,"6/12/2023","vocalize",0,1,4,NA,NA
"246108805",15,"6/12/2023","passive",0,1,4,NA,NA
"246108805",15,"6/12/2023","kick",0,1,4,NA,NA
"246108805",15,"6/12/2023","bite",1,1,4,NA,NA
"246108805",15,"6/12/2023","run_and_hide",0,1,4,NA,NA
"246108805",15,"6/12/2023","hide",0,1,4,NA,NA
"246108805",15,"6/12/2023","regurgitate",0,1,4,NA,NA
"246108805",15,"6/12/2023","vocalize",0,1,4,NA,NA
"790118815",23,"6/12/2023","passive",0,1,4,NA,NA
"790118815",23,"6/12/2023","kick",1,1,4,NA,NA
"790118815",23,"6/12/2023","bite",0,1,4,NA,NA
"790118815",23,"6/12/2023","run_and_hide",0,1,4,NA,NA
"790118815",23,"6/12/2023","hide",0,1,4,NA,NA
"790118815",23,"6/12/2023","regurgitate",0,1,4,NA,NA
"790118815",23,"6/12/2023","vocalize",0,1,4,NA,NA
"246110519",8,"6/12/2023","passive",0,1,4,"Probable F","Partner M in historic data"
"246110519",8,"6/12/2023","kick",0,1,4,"Probable F","Partner M in historic data"
"246110519",8,"6/12/2023","bite",1,1,4,"Probable F","Partner M in historic data"
"246110519",8,"6/12/2023","run_and_hide",0,1,4,"Probable F","Partner M in historic data"
"246110519",8,"6/12/2023","hide",0,1,4,"Probable F","Partner M in historic data"
"246110519",8,"6/12/2023","regurgitate",0,1,4,"Probable F","Partner M in historic data"
"246110519",8,"6/12/2023","vocalize",0,1,4,"Probable F","Partner M in historic data"
"246109457",10,"6/12/2023","passive",0,1,4,NA,NA
"246109457",10,"6/12/2023","kick",0,1,4,NA,NA
"246109457",10,"6/12/2023","bite",1,1,4,NA,NA
"246109457",10,"6/12/2023","run_and_hide",0,1,4,NA,NA
"246109457",10,"6/12/2023","hide",0,1,4,NA,NA
"246109457",10,"6/12/2023","regurgitate",0,1,4,NA,NA
"246109457",10,"6/12/2023","vocalize",1,1,4,NA,NA
"308102504",56,"6/12/2023","passive",1,0,3,NA,NA
"308102504",56,"6/12/2023","kick",0,0,3,NA,NA
"308102504",56,"6/12/2023","bite",0,0,3,NA,NA
"308102504",56,"6/12/2023","run_and_hide",0,0,3,NA,NA
"308102504",56,"6/12/2023","hide",0,0,3,NA,NA
"308102504",56,"6/12/2023","regurgitate",0,0,3,NA,NA
"308102504",56,"6/12/2023","vocalize",0,0,3,NA,NA
"246110562",223,"6/13/2023","passive",1,1,4,NA,NA
"246110562",223,"6/13/2023","kick",0,1,4,NA,NA
"246110562",223,"6/13/2023","bite",0,1,4,NA,NA
"246110562",223,"6/13/2023","run_and_hide",0,1,4,NA,NA
"246110562",223,"6/13/2023","hide",0,1,4,NA,NA
"246110562",223,"6/13/2023","regurgitate",0,1,4,NA,NA
"246110562",223,"6/13/2023","vocalize",0,1,4,NA,NA
"140167042",7,"6/13/2023","passive",0,1,4,"F",""
"140167042",7,"6/13/2023","kick",0,1,4,"F",""
"140167042",7,"6/13/2023","bite",1,1,4,"F",""
"140167042",7,"6/13/2023","run_and_hide",0,1,4,"F",""
"140167042",7,"6/13/2023","hide",0,1,4,"F",""
"140167042",7,"6/13/2023","regurgitate",0,1,4,"F",""
"140167042",7,"6/13/2023","vocalize",0,1,4,"F",""
"140163382",31,"6/13/2023","passive",0,2,6,NA,NA
"140163382",31,"6/13/2023","kick",0,2,6,NA,NA
"140163382",31,"6/13/2023","bite",1,2,6,NA,NA
"140163382",31,"6/13/2023","run_and_hide",0,2,6,NA,NA
"140163382",31,"6/13/2023","hide",0,2,6,NA,NA
"140163382",31,"6/13/2023","regurgitate",0,2,6,NA,NA
"140163382",31,"6/13/2023","vocalize",0,2,6,NA,NA
"246110548",45,"6/13/2023","passive",0,1,4,"F","2023 PCR"
"246110548",45,"6/13/2023","kick",0,1,4,"F","2023 PCR"
"246110548",45,"6/13/2023","bite",0,1,4,"F","2023 PCR"
"246110548",45,"6/13/2023","run_and_hide",0,1,4,"F","2023 PCR"
"246110548",45,"6/13/2023","hide",1,1,4,"F","2023 PCR"
"246110548",45,"6/13/2023","regurgitate",0,1,4,"F","2023 PCR"
"246110548",45,"6/13/2023","vocalize",0,1,4,"F","2023 PCR"
"140163407",62,"6/13/2023","passive",0,2,7,"M",""
"140163407",62,"6/13/2023","kick",1,2,7,"M",""
"140163407",62,"6/13/2023","bite",0,2,7,"M",""
"140163407",62,"6/13/2023","run_and_hide",0,2,7,"M",""
"140163407",62,"6/13/2023","hide",0,2,7,"M",""
"140163407",62,"6/13/2023","regurgitate",0,2,7,"M",""
"140163407",62,"6/13/2023","vocalize",0,2,7,"M",""
