"","observation_date","burrow_number","individual","band","years_found","sex","passive","kick","bite","run_and_hide","hide","regurgitate","vocalize","ext_time","ext_by","timed_by","notes"
"1","6/10/2023","504","ATY1","140167106",5,"female",0,0,1,0,0,0,1,73,"DL","MH",""
"2","6/10/2023","679","ATY1","246108721",6,"",1,0,0,0,0,0,0,50,"SP","LF",""
"3","6/10/2023","808","ATY1","246109184",2,"",0,1,0,0,0,0,0,49,"PJ","LF",""
"4","6/12/2023","100","ATY2","140167067",3,"",0,0,0,1,0,0,0,19,"SP","unknown","DL timed?"
"5","6/12/2023","204","ATY1","246110550",1,"",0,0,1,1,0,1,0,20,"PJ","unknown","DL or SP timed?"
"6","6/12/2023","233","ATY1","246108805",NA,"",0,0,1,0,0,0,0,15,"SP","unknown","DL timed? banded 2021? in 2022 as recapture but not in data through 2020"
"7","6/12/2023","273","ATY1","246110502",NA,"",0,0,0,0,1,0,0,94,"PJ","unknown","DL or SP timed? banded 2021? not found in 2022 or through 2020"
"8","6/12/2023","299","ATY1","790118815",NA,"",0,1,0,0,0,0,0,23,"SP","CD","banded 2021? in 2022 data as recapture."
"9","6/12/2023","327","ATY1","246110519",1,"",0,0,1,0,0,0,0,8,"PJ","CD","banded 2022"
"10","6/12/2023","328","ATY1","246109457",1,"",0,0,1,0,0,0,1,10,"SP","unknown","DL timed? banded 2022"
"11","6/12/2023","916","ATY1","308102504",0,"",1,0,0,0,0,0,0,56,"SP","CD",""
"12","6/13/2023","34","ATY1","246110562",1,"",1,0,0,0,0,0,0,223,"DL","BS","banded 2022"
"13","6/13/2023","40","ATY1","140167042",NA,"",0,0,1,0,0,0,0,7,"PJ","BS","regurgitated during egg extraction. recapture in 2022 but not in sheet through 2020"
"14","6/13/2023","89","ATY1","140163382",2,"",0,0,1,0,0,0,0,31,"PJ","BS",""
"15","6/13/2023","271","ATY1","246110548",1,"",0,0,0,0,1,0,0,45,"SP","BS",""
"16","6/13/2023","302","ATY1","140163407",2,"",0,1,0,0,0,0,0,62,"PJ","BS",""
"17","6/13/2023","340","ATY1","246109080",NA,"",0,0,1,0,0,0,0,7,"PJ","BS","banded 2021? in 2022 data as recapture."
"18","6/13/2023","876","ATY1","140163421",NA,"",0,0,1,0,0,0,0,165,"DL","BS","found as recapture in 2022; banded 2021?"
"19","6/14/2023","513","ATY2","246109185",NA,"",0,0,0,1,0,0,0,36,"SP","unknown","DL timed?"
"20","6/14/2023","518","ATY1","790111390",NA,"male",0,0,1,0,0,0,1,11,"SP","unknown","HS timed? Regurgitated during egg extraction"
"21","6/14/2023","655","ATY2","246109310",NA,"female",0,1,0,1,0,0,0,45,"DL","unknown","HS timed?"
"22","6/14/2023","697","ATY2","140163391",NA,"",0,0,1,0,0,0,0,39,"DL","unknown",""
"23","6/14/2023","698","ATY2","246110559",NA,"",0,0,0,1,0,0,0,116,"DL","unknown","SP timed?"
"24","6/14/2023","712","ATY1","246109183",3,"",0,0,1,0,0,0,0,28,"SP","unknown","HS timed?"
"25","6/14/2023","763","ATY1","140163497",NA,"",0,0,1,1,0,0,1,57,"SP","unknown","HS timed?"
"26","6/14/2023","827","ATY1","140181970",16,"male",0,0,1,1,0,0,0,40,"SP","unknown","HS timed?"
"27","6/14/2023","926","ATY1","140163411",NA,"",0,0,0,1,0,0,0,40,"SP","unknown","HS timed?"
"28","6/14/2023","971","ATY1","246109312",NA,"",0,0,0,1,0,0,0,37,"PJ","unknown","DL timed?"
"29","6/15/2023","165","ATY1","246109029",NA,"",0,0,0,1,0,0,0,199,"BS and SP","CD","Very complex burrow, required one person to block off an uphill trapdoor and trap the bird between two trapdoors. Total time 5:28 from blocking the entrances; extraction time written here is according to the protocol."
"30","6/15/2023","504","ATY2","140180425",NA,"male",0,0,1,0,0,0,0,13,"SP","PJ","Double banded, only wrote right here"
"31","6/15/2023","610","ATY2","790111098",NA,"",0,0,1,1,0,0,1,43,"SP","CD",""
"32","6/15/2023","679","ATY2","140167089",NA,"male",0,0,1,0,0,0,0,7,"PJ","BS","Double banded, only wrote left here"
"33","6/15/2023","836","ATY1","308102506",0,"",1,0,0,0,0,0,0,4,"PJ","BS",""
"34","6/15/2023","841","ATY2","246108704",NA,"",0,0,1,0,0,0,0,22,"SP","BS",""
"35","6/15/2023","934","ATY2","246109042",NA,"",0,0,1,0,0,0,0,19,"SP","BS",""
"36","6/15/2023","953","ATY2","246109026",NA,"female",0,0,1,1,0,0,0,28,"SP","BS",""
"37","6/15/2023","972","ATY1","308102505",0,"",1,0,0,0,0,0,0,74,"SP","PJ",""
"38","6/16/2023","100","ATY1","790118603",NA,"",0,0,1,0,0,0,0,13,"PJ","SP",""
"39","6/16/2023","204","ATY2","246110556",NA,"",1,0,0,0,0,0,0,19,"PJ","SP",""
"40","6/16/2023","207","ATY1","246109036",NA,"",0,0,1,1,0,1,0,22,"SP","PJ",""
"41","6/16/2023","209","ATY1","790118862",NA,"",0,0,0,1,0,0,0,82,"SP","DL",""
"42","6/16/2023","214","ATY1","246110561",NA,"",0,0,1,1,0,0,0,48,"SP","PJ",""
"43","6/16/2023","230","ATY1","246109490",NA,"",1,0,0,0,0,0,0,19,"PJ","SP",""
