1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F1000000595B4B21
Is Mission Active?  true
Mission Start:  Wed Jul 05 09:06:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  974
Total Samples:  44249
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 9:06:00 AM,C,20.5
05/07/23 9:36:00 AM,C,19.5
05/07/23 10:06:00 AM,C,20
05/07/23 10:36:00 AM,C,19.5
05/07/23 11:06:00 AM,C,19
05/07/23 11:36:00 AM,C,18
05/07/23 12:06:00 PM,C,14.5
05/07/23 12:36:00 PM,C,14.5
05/07/23 1:06:00 PM,C,14.5
05/07/23 1:36:00 PM,C,14.5
05/07/23 2:06:00 PM,C,14.5
05/07/23 2:36:00 PM,C,14.5
05/07/23 3:06:00 PM,C,14.5
05/07/23 3:36:00 PM,C,15
05/07/23 4:06:00 PM,C,15
05/07/23 4:36:00 PM,C,15
05/07/23 5:06:00 PM,C,15
05/07/23 5:36:00 PM,C,15
05/07/23 6:06:00 PM,C,14.5
05/07/23 6:36:00 PM,C,14.5
05/07/23 7:06:00 PM,C,14.5
05/07/23 7:36:00 PM,C,14.5
05/07/23 8:06:00 PM,C,14.5
05/07/23 8:36:00 PM,C,14.5
05/07/23 9:06:00 PM,C,14.5
05/07/23 9:36:00 PM,C,14
05/07/23 10:06:00 PM,C,14
05/07/23 10:36:00 PM,C,14
05/07/23 11:06:00 PM,C,14
05/07/23 11:36:00 PM,C,14
06/07/23 12:06:00 AM,C,14
06/07/23 12:36:00 AM,C,13.5
06/07/23 1:06:00 AM,C,13.5
06/07/23 1:36:00 AM,C,13.5
06/07/23 2:06:00 AM,C,13.5
06/07/23 2:36:00 AM,C,13.5
06/07/23 3:06:00 AM,C,13
06/07/23 3:36:00 AM,C,13
06/07/23 4:06:00 AM,C,13
06/07/23 4:36:00 AM,C,13
06/07/23 5:06:00 AM,C,13
06/07/23 5:36:00 AM,C,13
06/07/23 6:06:00 AM,C,13
06/07/23 6:36:00 AM,C,13
06/07/23 7:06:00 AM,C,13
06/07/23 7:36:00 AM,C,13.5
06/07/23 8:06:00 AM,C,13.5
06/07/23 8:36:00 AM,C,13.5
06/07/23 9:06:00 AM,C,13.5
06/07/23 9:36:00 AM,C,14
06/07/23 10:06:00 AM,C,14
06/07/23 10:36:00 AM,C,14
06/07/23 11:06:00 AM,C,14
06/07/23 11:36:00 AM,C,14.5
06/07/23 12:06:00 PM,C,14.5
06/07/23 12:36:00 PM,C,14.5
06/07/23 1:06:00 PM,C,14.5
06/07/23 1:36:00 PM,C,14.5
06/07/23 2:06:00 PM,C,14.5
06/07/23 2:36:00 PM,C,14.5
06/07/23 3:06:00 PM,C,14.5
06/07/23 3:36:00 PM,C,14.5
06/07/23 4:06:00 PM,C,14.5
06/07/23 4:36:00 PM,C,14.5
06/07/23 5:06:00 PM,C,15
06/07/23 5:36:00 PM,C,14.5
06/07/23 6:06:00 PM,C,14.5
06/07/23 6:36:00 PM,C,14.5
06/07/23 7:06:00 PM,C,14.5
06/07/23 7:36:00 PM,C,14.5
06/07/23 8:06:00 PM,C,14.5
06/07/23 8:36:00 PM,C,14.5
06/07/23 9:06:00 PM,C,14.5
06/07/23 9:36:00 PM,C,14
06/07/23 10:06:00 PM,C,14
06/07/23 10:36:00 PM,C,14
06/07/23 11:06:00 PM,C,14
06/07/23 11:36:00 PM,C,14
07/07/23 12:06:00 AM,C,13.5
07/07/23 12:36:00 AM,C,13.5
07/07/23 1:06:00 AM,C,13.5
07/07/23 1:36:00 AM,C,13.5
07/07/23 2:06:00 AM,C,13.5
07/07/23 2:36:00 AM,C,13.5
07/07/23 3:06:00 AM,C,13.5
07/07/23 3:36:00 AM,C,13.5
07/07/23 4:06:00 AM,C,13
07/07/23 4:36:00 AM,C,13
07/07/23 5:06:00 AM,C,13
07/07/23 5:36:00 AM,C,13
07/07/23 6:06:00 AM,C,13
07/07/23 6:36:00 AM,C,13
07/07/23 7:06:00 AM,C,13
07/07/23 7:36:00 AM,C,13.5
07/07/23 8:06:00 AM,C,13.5
07/07/23 8:36:00 AM,C,13.5
07/07/23 9:06:00 AM,C,14
07/07/23 9:36:00 AM,C,14
07/07/23 10:06:00 AM,C,14.5
07/07/23 10:36:00 AM,C,14.5
07/07/23 11:06:00 AM,C,14.5
07/07/23 11:36:00 AM,C,14.5
07/07/23 12:06:00 PM,C,14.5
07/07/23 12:36:00 PM,C,14.5
07/07/23 1:06:00 PM,C,14.5
07/07/23 1:36:00 PM,C,15
07/07/23 2:06:00 PM,C,14.5
07/07/23 2:36:00 PM,C,14.5
07/07/23 3:06:00 PM,C,14.5
07/07/23 3:36:00 PM,C,15
07/07/23 4:06:00 PM,C,15
07/07/23 4:36:00 PM,C,15
07/07/23 5:06:00 PM,C,15
07/07/23 5:36:00 PM,C,15
07/07/23 6:06:00 PM,C,15
07/07/23 6:36:00 PM,C,15
07/07/23 7:06:00 PM,C,15
07/07/23 7:36:00 PM,C,15
07/07/23 8:06:00 PM,C,14.5
07/07/23 8:36:00 PM,C,14.5
07/07/23 9:06:00 PM,C,14.5
07/07/23 9:36:00 PM,C,14.5
07/07/23 10:06:00 PM,C,14
07/07/23 10:36:00 PM,C,14
07/07/23 11:06:00 PM,C,14
07/07/23 11:36:00 PM,C,14
08/07/23 12:06:00 AM,C,14
08/07/23 12:36:00 AM,C,13.5
08/07/23 1:06:00 AM,C,13.5
08/07/23 1:36:00 AM,C,13.5
08/07/23 2:06:00 AM,C,13.5
08/07/23 2:36:00 AM,C,13.5
08/07/23 3:06:00 AM,C,13.5
08/07/23 3:36:00 AM,C,13.5
08/07/23 4:06:00 AM,C,13.5
08/07/23 4:36:00 AM,C,13.5
08/07/23 5:06:00 AM,C,13
08/07/23 5:36:00 AM,C,13
08/07/23 6:06:00 AM,C,13
08/07/23 6:36:00 AM,C,13
08/07/23 7:06:00 AM,C,13.5
08/07/23 7:36:00 AM,C,13.5
08/07/23 8:06:00 AM,C,13.5
08/07/23 8:36:00 AM,C,13.5
08/07/23 9:06:00 AM,C,13.5
08/07/23 9:36:00 AM,C,13.5
08/07/23 10:06:00 AM,C,14
08/07/23 10:36:00 AM,C,14
08/07/23 11:06:00 AM,C,14
08/07/23 11:36:00 AM,C,14.5
08/07/23 12:06:00 PM,C,14.5
08/07/23 12:36:00 PM,C,14.5
08/07/23 1:06:00 PM,C,14.5
08/07/23 1:36:00 PM,C,14.5
08/07/23 2:06:00 PM,C,14.5
08/07/23 2:36:00 PM,C,14.5
08/07/23 3:06:00 PM,C,14.5
08/07/23 3:36:00 PM,C,14.5
08/07/23 4:06:00 PM,C,14.5
08/07/23 4:36:00 PM,C,14.5
08/07/23 5:06:00 PM,C,14.5
08/07/23 5:36:00 PM,C,14.5
08/07/23 6:06:00 PM,C,14.5
08/07/23 6:36:00 PM,C,14.5
08/07/23 7:06:00 PM,C,14.5
08/07/23 7:36:00 PM,C,14.5
08/07/23 8:06:00 PM,C,14.5
08/07/23 8:36:00 PM,C,14.5
08/07/23 9:06:00 PM,C,14.5
08/07/23 9:36:00 PM,C,14.5
08/07/23 10:06:00 PM,C,14.5
08/07/23 10:36:00 PM,C,14
08/07/23 11:06:00 PM,C,14
08/07/23 11:36:00 PM,C,14
09/07/23 12:06:00 AM,C,14
09/07/23 12:36:00 AM,C,14
09/07/23 1:06:00 AM,C,14
09/07/23 1:36:00 AM,C,13.5
09/07/23 2:06:00 AM,C,13.5
09/07/23 2:36:00 AM,C,13.5
09/07/23 3:06:00 AM,C,13.5
09/07/23 3:36:00 AM,C,13.5
09/07/23 4:06:00 AM,C,13
09/07/23 4:36:00 AM,C,13
09/07/23 5:06:00 AM,C,13
09/07/23 5:36:00 AM,C,13
09/07/23 6:06:00 AM,C,13
09/07/23 6:36:00 AM,C,13
09/07/23 7:06:00 AM,C,13.5
09/07/23 7:36:00 AM,C,13.5
09/07/23 8:06:00 AM,C,13.5
09/07/23 8:36:00 AM,C,14
09/07/23 9:06:00 AM,C,14.5
09/07/23 9:36:00 AM,C,14.5
09/07/23 10:06:00 AM,C,14.5
09/07/23 10:36:00 AM,C,15
09/07/23 11:06:00 AM,C,15
09/07/23 11:36:00 AM,C,15
09/07/23 12:06:00 PM,C,15.5
09/07/23 12:36:00 PM,C,16
09/07/23 1:06:00 PM,C,16
09/07/23 1:36:00 PM,C,16
09/07/23 2:06:00 PM,C,16
09/07/23 2:36:00 PM,C,16
09/07/23 3:06:00 PM,C,15.5
09/07/23 3:36:00 PM,C,15.5
09/07/23 4:06:00 PM,C,15.5
09/07/23 4:36:00 PM,C,15.5
09/07/23 5:06:00 PM,C,16
09/07/23 5:36:00 PM,C,16
09/07/23 6:06:00 PM,C,16
09/07/23 6:36:00 PM,C,16
09/07/23 7:06:00 PM,C,16
09/07/23 7:36:00 PM,C,15.5
09/07/23 8:06:00 PM,C,16
09/07/23 8:36:00 PM,C,16
09/07/23 9:06:00 PM,C,15.5
09/07/23 9:36:00 PM,C,15.5
09/07/23 10:06:00 PM,C,15.5
09/07/23 10:36:00 PM,C,15.5
09/07/23 11:06:00 PM,C,15.5
09/07/23 11:36:00 PM,C,15.5
10/07/23 12:06:00 AM,C,15.5
10/07/23 12:36:00 AM,C,15.5
10/07/23 1:06:00 AM,C,15.5
10/07/23 1:36:00 AM,C,15.5
10/07/23 2:06:00 AM,C,15.5
10/07/23 2:36:00 AM,C,15
