Date/Time,Unit,Value
05/07/23 9:14:00 AM,C,20.5
05/07/23 9:44:00 AM,C,20
05/07/23 10:14:00 AM,C,20.5
05/07/23 10:44:00 AM,C,19
05/07/23 11:14:00 AM,C,19
05/07/23 11:44:00 AM,C,18.5
05/07/23 12:14:00 PM,C,17.5
05/07/23 12:44:00 PM,C,18
05/07/23 1:14:00 PM,C,19.5
05/07/23 1:44:00 PM,C,21
05/07/23 2:14:00 PM,C,20.5
05/07/23 2:44:00 PM,C,20.5
05/07/23 3:14:00 PM,C,20.5
05/07/23 3:44:00 PM,C,20.5
05/07/23 4:14:00 PM,C,20.5
05/07/23 4:44:00 PM,C,20.5
05/07/23 5:14:00 PM,C,21
05/07/23 5:44:00 PM,C,20
05/07/23 6:14:00 PM,C,20
05/07/23 6:44:00 PM,C,20.5
05/07/23 7:14:00 PM,C,20
05/07/23 7:44:00 PM,C,20
05/07/23 8:14:00 PM,C,20.5
05/07/23 8:44:00 PM,C,20.5
05/07/23 9:14:00 PM,C,21
05/07/23 9:44:00 PM,C,20.5
05/07/23 10:14:00 PM,C,20.5
05/07/23 10:44:00 PM,C,21
05/07/23 11:14:00 PM,C,21
05/07/23 11:44:00 PM,C,21
06/07/23 12:14:00 AM,C,21.5
06/07/23 12:44:00 AM,C,20.5
06/07/23 1:14:00 AM,C,20.5
06/07/23 1:44:00 AM,C,20.5
06/07/23 2:14:00 AM,C,20
06/07/23 2:44:00 AM,C,20
06/07/23 3:14:00 AM,C,16.5
06/07/23 3:44:00 AM,C,16.5
06/07/23 4:14:00 AM,C,16.5
06/07/23 4:44:00 AM,C,16.5
06/07/23 5:14:00 AM,C,16.5
06/07/23 5:44:00 AM,C,17
06/07/23 6:14:00 AM,C,16.5
06/07/23 6:44:00 AM,C,16.5
06/07/23 7:14:00 AM,C,16.5
06/07/23 7:44:00 AM,C,16.5
06/07/23 8:14:00 AM,C,16.5
06/07/23 8:44:00 AM,C,16.5
06/07/23 9:14:00 AM,C,16.5
06/07/23 9:44:00 AM,C,16.5
06/07/23 10:14:00 AM,C,16.5
06/07/23 10:44:00 AM,C,17
06/07/23 11:14:00 AM,C,17
06/07/23 11:44:00 AM,C,16.5
06/07/23 12:14:00 PM,C,16.5
06/07/23 12:44:00 PM,C,16.5
06/07/23 1:14:00 PM,C,16.5
06/07/23 1:44:00 PM,C,16.5
06/07/23 2:14:00 PM,C,16.5
06/07/23 2:44:00 PM,C,16.5
06/07/23 3:14:00 PM,C,16.5
06/07/23 3:44:00 PM,C,16.5
06/07/23 4:14:00 PM,C,16.5
06/07/23 4:44:00 PM,C,16.5
06/07/23 5:14:00 PM,C,16.5
06/07/23 5:44:00 PM,C,16.5
06/07/23 6:14:00 PM,C,16.5
