1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 18000000594EA921
Is Mission Active?  true
Mission Start:  Wed Jul 05 09:12:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  974
Total Samples:  39724
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 9:12:00 AM,C,21
05/07/23 9:42:00 AM,C,19.5
05/07/23 10:12:00 AM,C,20
05/07/23 10:42:00 AM,C,19.5
05/07/23 11:12:00 AM,C,19
05/07/23 11:42:00 AM,C,18
05/07/23 12:12:00 PM,C,11.5
05/07/23 12:42:00 PM,C,11
05/07/23 1:12:00 PM,C,11
05/07/23 1:42:00 PM,C,11
05/07/23 2:12:00 PM,C,11
05/07/23 2:42:00 PM,C,11
05/07/23 3:12:00 PM,C,11
05/07/23 3:42:00 PM,C,11
05/07/23 4:12:00 PM,C,11
05/07/23 4:42:00 PM,C,11
05/07/23 5:12:00 PM,C,11
05/07/23 5:42:00 PM,C,11.5
05/07/23 6:12:00 PM,C,11.5
05/07/23 6:42:00 PM,C,11.5
05/07/23 7:12:00 PM,C,11
05/07/23 7:42:00 PM,C,11.5
05/07/23 8:12:00 PM,C,11.5
05/07/23 8:42:00 PM,C,11.5
05/07/23 9:12:00 PM,C,11.5
05/07/23 9:42:00 PM,C,11.5
05/07/23 10:12:00 PM,C,11.5
05/07/23 10:42:00 PM,C,11.5
05/07/23 11:12:00 PM,C,11.5
05/07/23 11:42:00 PM,C,11.5
06/07/23 12:12:00 AM,C,11.5
06/07/23 12:42:00 AM,C,11.5
06/07/23 1:12:00 AM,C,11.5
06/07/23 1:42:00 AM,C,11.5
06/07/23 2:12:00 AM,C,11.5
06/07/23 2:42:00 AM,C,11.5
06/07/23 3:12:00 AM,C,11.5
06/07/23 3:42:00 AM,C,11.5
06/07/23 4:12:00 AM,C,11.5
06/07/23 4:42:00 AM,C,11
06/07/23 5:12:00 AM,C,11
06/07/23 5:42:00 AM,C,11.5
06/07/23 6:12:00 AM,C,11.5
06/07/23 6:42:00 AM,C,11.5
06/07/23 7:12:00 AM,C,11.5
06/07/23 7:42:00 AM,C,11.5
06/07/23 8:12:00 AM,C,11.5
06/07/23 8:42:00 AM,C,11.5
06/07/23 9:12:00 AM,C,11.5
06/07/23 9:42:00 AM,C,11.5
06/07/23 10:12:00 AM,C,11.5
06/07/23 10:42:00 AM,C,11.5
06/07/23 11:12:00 AM,C,11.5
06/07/23 11:42:00 AM,C,11.5
06/07/23 12:12:00 PM,C,11
06/07/23 12:42:00 PM,C,11
06/07/23 1:12:00 PM,C,11.5
06/07/23 1:42:00 PM,C,11.5
06/07/23 2:12:00 PM,C,11.5
06/07/23 2:42:00 PM,C,11.5
06/07/23 3:12:00 PM,C,11.5
06/07/23 3:42:00 PM,C,11.5
06/07/23 4:12:00 PM,C,11.5
06/07/23 4:42:00 PM,C,11.5
06/07/23 5:12:00 PM,C,11.5
06/07/23 5:42:00 PM,C,11.5
06/07/23 6:12:00 PM,C,11.5
06/07/23 6:42:00 PM,C,11.5
06/07/23 7:12:00 PM,C,11.5
06/07/23 7:42:00 PM,C,11.5
06/07/23 8:12:00 PM,C,11.5
06/07/23 8:42:00 PM,C,11.5
06/07/23 9:12:00 PM,C,11.5
06/07/23 9:42:00 PM,C,11.5
06/07/23 10:12:00 PM,C,11.5
06/07/23 10:42:00 PM,C,11
06/07/23 11:12:00 PM,C,11.5
06/07/23 11:42:00 PM,C,11.5
07/07/23 12:12:00 AM,C,11
07/07/23 12:42:00 AM,C,11.5
07/07/23 1:12:00 AM,C,11.5
07/07/23 1:42:00 AM,C,11.5
07/07/23 2:12:00 AM,C,11.5
07/07/23 2:42:00 AM,C,11.5
07/07/23 3:12:00 AM,C,11.5
07/07/23 3:42:00 AM,C,11.5
07/07/23 4:12:00 AM,C,11.5
07/07/23 4:42:00 AM,C,11.5
07/07/23 5:12:00 AM,C,11.5
07/07/23 5:42:00 AM,C,11.5
07/07/23 6:12:00 AM,C,11.5
07/07/23 6:42:00 AM,C,11.5
07/07/23 7:12:00 AM,C,11.5
07/07/23 7:42:00 AM,C,11.5
07/07/23 8:12:00 AM,C,11.5
07/07/23 8:42:00 AM,C,11.5
07/07/23 9:12:00 AM,C,11.5
07/07/23 9:42:00 AM,C,11.5
07/07/23 10:12:00 AM,C,11.5
07/07/23 10:42:00 AM,C,11.5
07/07/23 11:12:00 AM,C,11.5
07/07/23 11:42:00 AM,C,11.5
07/07/23 12:12:00 PM,C,11.5
07/07/23 12:42:00 PM,C,11.5
07/07/23 1:12:00 PM,C,11.5
07/07/23 1:42:00 PM,C,11.5
07/07/23 2:12:00 PM,C,11.5
07/07/23 2:42:00 PM,C,11.5
07/07/23 3:12:00 PM,C,11.5
07/07/23 3:42:00 PM,C,11.5
07/07/23 4:12:00 PM,C,11.5
07/07/23 4:42:00 PM,C,11.5
07/07/23 5:12:00 PM,C,11.5
