1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0D00000059584D21
Is Mission Active?  true
Mission Start:  Wed Jul 05 08:55:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  974
Total Samples:  974
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 8:55:00 AM,C,20.5
05/07/23 9:25:00 AM,C,20
05/07/23 9:55:00 AM,C,20
05/07/23 10:25:00 AM,C,19.5
05/07/23 10:55:00 AM,C,18.5
05/07/23 11:25:00 AM,C,15.5
05/07/23 11:55:00 AM,C,14
05/07/23 12:25:00 PM,C,13.5
05/07/23 12:55:00 PM,C,13.5
05/07/23 1:25:00 PM,C,13.5
05/07/23 1:55:00 PM,C,13.5
05/07/23 2:25:00 PM,C,13.5
05/07/23 2:55:00 PM,C,13.5
05/07/23 3:25:00 PM,C,13.5
05/07/23 3:55:00 PM,C,13.5
05/07/23 4:25:00 PM,C,13.5
05/07/23 4:55:00 PM,C,13.5
05/07/23 5:25:00 PM,C,13.5
05/07/23 5:55:00 PM,C,13.5
05/07/23 6:25:00 PM,C,13.5
05/07/23 6:55:00 PM,C,13.5
05/07/23 7:25:00 PM,C,13.5
05/07/23 7:55:00 PM,C,13.5
05/07/23 8:25:00 PM,C,13.5
05/07/23 8:55:00 PM,C,13.5
05/07/23 9:25:00 PM,C,13.5
05/07/23 9:55:00 PM,C,13.5
05/07/23 10:25:00 PM,C,13.5
05/07/23 10:55:00 PM,C,13.5
05/07/23 11:25:00 PM,C,13.5
05/07/23 11:55:00 PM,C,13.5
06/07/23 12:25:00 AM,C,13.5
06/07/23 12:55:00 AM,C,13.5
06/07/23 1:25:00 AM,C,13.5
06/07/23 1:55:00 AM,C,13.5
06/07/23 2:25:00 AM,C,13.5
06/07/23 2:55:00 AM,C,13.5
06/07/23 3:25:00 AM,C,13.5
06/07/23 3:55:00 AM,C,13.5
06/07/23 4:25:00 AM,C,13.5
06/07/23 4:55:00 AM,C,13.5
06/07/23 5:25:00 AM,C,13.5
06/07/23 5:55:00 AM,C,13.5
06/07/23 6:25:00 AM,C,13.5
06/07/23 6:55:00 AM,C,13.5
06/07/23 7:25:00 AM,C,13.5
06/07/23 7:55:00 AM,C,13.5
06/07/23 8:25:00 AM,C,13.5
06/07/23 8:55:00 AM,C,13.5
06/07/23 9:25:00 AM,C,13.5
06/07/23 9:55:00 AM,C,13.5
06/07/23 10:25:00 AM,C,13.5
06/07/23 10:55:00 AM,C,13.5
06/07/23 11:25:00 AM,C,13.5
06/07/23 11:55:00 AM,C,13.5
06/07/23 12:25:00 PM,C,13.5
06/07/23 12:55:00 PM,C,13.5
06/07/23 1:25:00 PM,C,13.5
06/07/23 1:55:00 PM,C,13.5
06/07/23 2:25:00 PM,C,13.5
06/07/23 2:55:00 PM,C,13.5
06/07/23 3:25:00 PM,C,13.5
06/07/23 3:55:00 PM,C,13.5
06/07/23 4:25:00 PM,C,13.5
06/07/23 4:55:00 PM,C,13.5
06/07/23 5:25:00 PM,C,13.5
06/07/23 5:55:00 PM,C,13.5
06/07/23 6:25:00 PM,C,13.5
06/07/23 6:55:00 PM,C,13.5
06/07/23 7:25:00 PM,C,13.5
06/07/23 7:55:00 PM,C,13.5
06/07/23 8:25:00 PM,C,13.5
06/07/23 8:55:00 PM,C,13.5
06/07/23 9:25:00 PM,C,13.5
06/07/23 9:55:00 PM,C,13.5
06/07/23 10:25:00 PM,C,13.5
06/07/23 10:55:00 PM,C,13.5
06/07/23 11:25:00 PM,C,13.5
06/07/23 11:55:00 PM,C,14
07/07/23 12:25:00 AM,C,13.5
07/07/23 12:55:00 AM,C,13.5
07/07/23 1:25:00 AM,C,14
07/07/23 1:55:00 AM,C,13.5
07/07/23 2:25:00 AM,C,13.5
07/07/23 2:55:00 AM,C,14
07/07/23 3:25:00 AM,C,14
07/07/23 3:55:00 AM,C,14
07/07/23 4:25:00 AM,C,14
07/07/23 4:55:00 AM,C,14
07/07/23 5:25:00 AM,C,14
07/07/23 5:55:00 AM,C,14
07/07/23 6:25:00 AM,C,14
07/07/23 6:55:00 AM,C,14
07/07/23 7:25:00 AM,C,14
07/07/23 7:55:00 AM,C,14
07/07/23 8:25:00 AM,C,14
07/07/23 8:55:00 AM,C,14
07/07/23 9:25:00 AM,C,14
07/07/23 9:55:00 AM,C,14
07/07/23 10:25:00 AM,C,14
07/07/23 10:55:00 AM,C,14
07/07/23 11:25:00 AM,C,14
07/07/23 11:55:00 AM,C,14
07/07/23 12:25:00 PM,C,14
07/07/23 12:55:00 PM,C,14
07/07/23 1:25:00 PM,C,14
07/07/23 1:55:00 PM,C,14
07/07/23 2:25:00 PM,C,13.5
07/07/23 2:55:00 PM,C,13.5
07/07/23 3:25:00 PM,C,14
07/07/23 3:55:00 PM,C,14
07/07/23 4:25:00 PM,C,14
07/07/23 4:55:00 PM,C,14
07/07/23 5:25:00 PM,C,14
07/07/23 5:55:00 PM,C,14
07/07/23 6:25:00 PM,C,14
07/07/23 6:55:00 PM,C,14
07/07/23 7:25:00 PM,C,14
07/07/23 7:55:00 PM,C,14
07/07/23 8:25:00 PM,C,14
07/07/23 8:55:00 PM,C,14.5
07/07/23 9:25:00 PM,C,14
07/07/23 9:55:00 PM,C,14
07/07/23 10:25:00 PM,C,14
07/07/23 10:55:00 PM,C,14
07/07/23 11:25:00 PM,C,14
07/07/23 11:55:00 PM,C,14
08/07/23 12:25:00 AM,C,14
08/07/23 12:55:00 AM,C,14
08/07/23 1:25:00 AM,C,14
08/07/23 1:55:00 AM,C,14
08/07/23 2:25:00 AM,C,14
08/07/23 2:55:00 AM,C,14
08/07/23 3:25:00 AM,C,14
08/07/23 3:55:00 AM,C,13.5
08/07/23 4:25:00 AM,C,13
08/07/23 4:55:00 AM,C,13
08/07/23 5:25:00 AM,C,13
08/07/23 5:55:00 AM,C,13
08/07/23 6:25:00 AM,C,13
08/07/23 6:55:00 AM,C,13
08/07/23 7:25:00 AM,C,13
08/07/23 7:55:00 AM,C,13
08/07/23 8:25:00 AM,C,12.5
08/07/23 8:55:00 AM,C,12.5
08/07/23 9:25:00 AM,C,12.5
08/07/23 9:55:00 AM,C,12.5
08/07/23 10:25:00 AM,C,12.5
08/07/23 10:55:00 AM,C,12.5
08/07/23 11:25:00 AM,C,12.5
08/07/23 11:55:00 AM,C,12.5
08/07/23 12:25:00 PM,C,12.5
08/07/23 12:55:00 PM,C,12.5
08/07/23 1:25:00 PM,C,12.5
08/07/23 1:55:00 PM,C,12.5
08/07/23 2:25:00 PM,C,12.5
08/07/23 2:55:00 PM,C,12.5
08/07/23 3:25:00 PM,C,12.5
08/07/23 3:55:00 PM,C,12.5
08/07/23 4:25:00 PM,C,12.5
08/07/23 4:55:00 PM,C,12.5
08/07/23 5:25:00 PM,C,12.5
08/07/23 5:55:00 PM,C,12.5
08/07/23 6:25:00 PM,C,12.5
08/07/23 6:55:00 PM,C,12.5
08/07/23 7:25:00 PM,C,12.5
08/07/23 7:55:00 PM,C,12.5
08/07/23 8:25:00 PM,C,12.5
08/07/23 8:55:00 PM,C,12.5
08/07/23 9:25:00 PM,C,12.5
08/07/23 9:55:00 PM,C,12.5
08/07/23 10:25:00 PM,C,12.5
08/07/23 10:55:00 PM,C,12.5
08/07/23 11:25:00 PM,C,12.5
08/07/23 11:55:00 PM,C,12.5
09/07/23 12:25:00 AM,C,12.5
09/07/23 12:55:00 AM,C,12.5
09/07/23 1:25:00 AM,C,12.5
09/07/23 1:55:00 AM,C,12.5
09/07/23 2:25:00 AM,C,12.5
09/07/23 2:55:00 AM,C,12.5
09/07/23 3:25:00 AM,C,12.5
09/07/23 3:55:00 AM,C,12.5
09/07/23 4:25:00 AM,C,12.5
09/07/23 4:55:00 AM,C,12.5
09/07/23 5:25:00 AM,C,12.5
09/07/23 5:55:00 AM,C,12.5
09/07/23 6:25:00 AM,C,12.5
09/07/23 6:55:00 AM,C,12.5
09/07/23 7:25:00 AM,C,12.5
09/07/23 7:55:00 AM,C,12.5
09/07/23 8:25:00 AM,C,12.5
09/07/23 8:55:00 AM,C,12.5
09/07/23 9:25:00 AM,C,12.5
09/07/23 9:55:00 AM,C,12.5
09/07/23 10:25:00 AM,C,12.5
09/07/23 10:55:00 AM,C,12.5
09/07/23 11:25:00 AM,C,12.5
09/07/23 11:55:00 AM,C,12.5
09/07/23 12:25:00 PM,C,12.5
09/07/23 12:55:00 PM,C,12
09/07/23 1:25:00 PM,C,12
09/07/23 1:55:00 PM,C,12
09/07/23 2:25:00 PM,C,12
09/07/23 2:55:00 PM,C,12
09/07/23 3:25:00 PM,C,12
09/07/23 3:55:00 PM,C,12
09/07/23 4:25:00 PM,C,12
09/07/23 4:55:00 PM,C,12
09/07/23 5:25:00 PM,C,12
09/07/23 5:55:00 PM,C,12
09/07/23 6:25:00 PM,C,12
09/07/23 6:55:00 PM,C,12
09/07/23 7:25:00 PM,C,12
09/07/23 7:55:00 PM,C,12
09/07/23 8:25:00 PM,C,12
09/07/23 8:55:00 PM,C,12
09/07/23 9:25:00 PM,C,12
09/07/23 9:55:00 PM,C,12
09/07/23 10:25:00 PM,C,12
09/07/23 10:55:00 PM,C,12
09/07/23 11:25:00 PM,C,12
09/07/23 11:55:00 PM,C,12
10/07/23 12:25:00 AM,C,12
10/07/23 12:55:00 AM,C,12
10/07/23 1:25:00 AM,C,12
10/07/23 1:55:00 AM,C,12
10/07/23 2:25:00 AM,C,12
10/07/23 2:55:00 AM,C,12.5
10/07/23 3:25:00 AM,C,12.5
10/07/23 3:55:00 AM,C,12.5
10/07/23 4:25:00 AM,C,12.5
10/07/23 4:55:00 AM,C,12.5
10/07/23 5:25:00 AM,C,12.5
10/07/23 5:55:00 AM,C,12.5
10/07/23 6:25:00 AM,C,12.5
10/07/23 6:55:00 AM,C,12.5
10/07/23 7:25:00 AM,C,12.5
10/07/23 7:55:00 AM,C,12.5
10/07/23 8:25:00 AM,C,12.5
10/07/23 8:55:00 AM,C,12.5
10/07/23 9:25:00 AM,C,12.5
10/07/23 9:55:00 AM,C,12.5
10/07/23 10:25:00 AM,C,12.5
10/07/23 10:55:00 AM,C,15
10/07/23 11:25:00 AM,C,13.5
10/07/23 11:55:00 AM,C,13.5
10/07/23 12:25:00 PM,C,13.5
10/07/23 12:55:00 PM,C,13.5
10/07/23 1:25:00 PM,C,13
10/07/23 1:55:00 PM,C,13
10/07/23 2:25:00 PM,C,13
10/07/23 2:55:00 PM,C,13
10/07/23 3:25:00 PM,C,13
10/07/23 3:55:00 PM,C,13
10/07/23 4:25:00 PM,C,13
10/07/23 4:55:00 PM,C,13
10/07/23 5:25:00 PM,C,13
10/07/23 5:55:00 PM,C,13
10/07/23 6:25:00 PM,C,13
10/07/23 6:55:00 PM,C,13
10/07/23 7:25:00 PM,C,13
