1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8000000059661A21
Is Mission Active?  true
Mission Start:  Wed Jul 05 09:02:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  974
Total Samples:  32421
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 9:02:00 AM,C,20
05/07/23 9:32:00 AM,C,19
05/07/23 10:02:00 AM,C,19
05/07/23 10:32:00 AM,C,19
05/07/23 11:02:00 AM,C,18.5
05/07/23 11:32:00 AM,C,18.5
05/07/23 12:02:00 PM,C,17.5
05/07/23 12:32:00 PM,C,20
05/07/23 1:02:00 PM,C,21.5
05/07/23 1:32:00 PM,C,22.5
05/07/23 2:02:00 PM,C,20
05/07/23 2:32:00 PM,C,19.5
05/07/23 3:02:00 PM,C,19
05/07/23 3:32:00 PM,C,19
05/07/23 4:02:00 PM,C,19
05/07/23 4:32:00 PM,C,18.5
05/07/23 5:02:00 PM,C,18.5
05/07/23 5:32:00 PM,C,18.5
05/07/23 6:02:00 PM,C,18.5
05/07/23 6:32:00 PM,C,18.5
05/07/23 7:02:00 PM,C,18.5
05/07/23 7:32:00 PM,C,18.5
05/07/23 8:02:00 PM,C,18.5
05/07/23 8:32:00 PM,C,19
05/07/23 9:02:00 PM,C,18.5
05/07/23 9:32:00 PM,C,18.5
05/07/23 10:02:00 PM,C,17.5
05/07/23 10:32:00 PM,C,16.5
05/07/23 11:02:00 PM,C,17
05/07/23 11:32:00 PM,C,18
06/07/23 12:02:00 AM,C,17.5
06/07/23 12:32:00 AM,C,17.5
06/07/23 1:02:00 AM,C,17.5
06/07/23 1:32:00 AM,C,18
06/07/23 2:02:00 AM,C,17.5
06/07/23 2:32:00 AM,C,17.5
06/07/23 3:02:00 AM,C,17
06/07/23 3:32:00 AM,C,16.5
06/07/23 4:02:00 AM,C,16.5
06/07/23 4:32:00 AM,C,16.5
06/07/23 5:02:00 AM,C,16.5
06/07/23 5:32:00 AM,C,16
06/07/23 6:02:00 AM,C,16
06/07/23 6:32:00 AM,C,16
06/07/23 7:02:00 AM,C,16
06/07/23 7:32:00 AM,C,16.5
06/07/23 8:02:00 AM,C,16.5
06/07/23 8:32:00 AM,C,16.5
06/07/23 9:02:00 AM,C,16
06/07/23 9:32:00 AM,C,16
06/07/23 10:02:00 AM,C,15.5
06/07/23 10:32:00 AM,C,15.5
06/07/23 11:02:00 AM,C,15.5
06/07/23 11:32:00 AM,C,15.5
06/07/23 12:02:00 PM,C,15.5
06/07/23 12:32:00 PM,C,15.5
06/07/23 1:02:00 PM,C,15.5
06/07/23 1:32:00 PM,C,15.5
06/07/23 2:02:00 PM,C,15.5
06/07/23 2:32:00 PM,C,15.5
06/07/23 3:02:00 PM,C,16
06/07/23 3:32:00 PM,C,16
06/07/23 4:02:00 PM,C,16
06/07/23 4:32:00 PM,C,16
06/07/23 5:02:00 PM,C,16
06/07/23 5:32:00 PM,C,16
06/07/23 6:02:00 PM,C,16
06/07/23 6:32:00 PM,C,16.5
06/07/23 7:02:00 PM,C,16.5
06/07/23 7:32:00 PM,C,16.5
06/07/23 8:02:00 PM,C,16.5
06/07/23 8:32:00 PM,C,16.5
06/07/23 9:02:00 PM,C,16.5
06/07/23 9:32:00 PM,C,16.5
06/07/23 10:02:00 PM,C,16
06/07/23 10:32:00 PM,C,16.5
06/07/23 11:02:00 PM,C,16.5
06/07/23 11:32:00 PM,C,16.5
07/07/23 12:02:00 AM,C,16.5
07/07/23 12:32:00 AM,C,16.5
07/07/23 1:02:00 AM,C,16.5
07/07/23 1:32:00 AM,C,16.5
07/07/23 2:02:00 AM,C,16
07/07/23 2:32:00 AM,C,17.5
07/07/23 3:02:00 AM,C,18
07/07/23 3:32:00 AM,C,18
07/07/23 4:02:00 AM,C,18.5
07/07/23 4:32:00 AM,C,18
07/07/23 5:02:00 AM,C,18
07/07/23 5:32:00 AM,C,17.5
07/07/23 6:02:00 AM,C,17.5
07/07/23 6:32:00 AM,C,17.5
07/07/23 7:02:00 AM,C,17.5
07/07/23 7:32:00 AM,C,17.5
07/07/23 8:02:00 AM,C,17
07/07/23 8:32:00 AM,C,17.5
07/07/23 9:02:00 AM,C,17.5
07/07/23 9:32:00 AM,C,17.5
07/07/23 10:02:00 AM,C,17.5
07/07/23 10:32:00 AM,C,17
07/07/23 11:02:00 AM,C,17
07/07/23 11:32:00 AM,C,17
07/07/23 12:02:00 PM,C,17
07/07/23 12:32:00 PM,C,17.5
07/07/23 1:02:00 PM,C,17.5
07/07/23 1:32:00 PM,C,17.5
07/07/23 2:02:00 PM,C,17.5
07/07/23 2:32:00 PM,C,17.5
07/07/23 3:02:00 PM,C,17.5
07/07/23 3:32:00 PM,C,17.5
07/07/23 4:02:00 PM,C,17.5
07/07/23 4:32:00 PM,C,17.5
07/07/23 5:02:00 PM,C,17.5
07/07/23 5:32:00 PM,C,17.5
07/07/23 6:02:00 PM,C,17.5
07/07/23 6:32:00 PM,C,17.5
07/07/23 7:02:00 PM,C,17.5
07/07/23 7:32:00 PM,C,18
07/07/23 8:02:00 PM,C,17.5
07/07/23 8:32:00 PM,C,18
07/07/23 9:02:00 PM,C,17.5
07/07/23 9:32:00 PM,C,17.5
07/07/23 10:02:00 PM,C,20.5
07/07/23 10:32:00 PM,C,20
07/07/23 11:02:00 PM,C,20
07/07/23 11:32:00 PM,C,19
08/07/23 12:02:00 AM,C,19
08/07/23 12:32:00 AM,C,19.5
08/07/23 1:02:00 AM,C,20
08/07/23 1:32:00 AM,C,19.5
08/07/23 2:02:00 AM,C,20.5
08/07/23 2:32:00 AM,C,20.5
08/07/23 3:02:00 AM,C,20
08/07/23 3:32:00 AM,C,19.5
08/07/23 4:02:00 AM,C,19
08/07/23 4:32:00 AM,C,19
08/07/23 5:02:00 AM,C,19
08/07/23 5:32:00 AM,C,18.5
08/07/23 6:02:00 AM,C,18
08/07/23 6:32:00 AM,C,18
08/07/23 7:02:00 AM,C,18
08/07/23 7:32:00 AM,C,18
08/07/23 8:02:00 AM,C,18.5
08/07/23 8:32:00 AM,C,18.5
08/07/23 9:02:00 AM,C,19
08/07/23 9:32:00 AM,C,19
08/07/23 10:02:00 AM,C,19
08/07/23 10:32:00 AM,C,20
08/07/23 11:02:00 AM,C,21
08/07/23 11:32:00 AM,C,18.5
08/07/23 12:02:00 PM,C,18.5
08/07/23 12:32:00 PM,C,18.5
08/07/23 1:02:00 PM,C,19
08/07/23 1:32:00 PM,C,19
08/07/23 2:02:00 PM,C,19
08/07/23 2:32:00 PM,C,19
08/07/23 3:02:00 PM,C,19
08/07/23 3:32:00 PM,C,19
08/07/23 4:02:00 PM,C,19
08/07/23 4:32:00 PM,C,19.5
08/07/23 5:02:00 PM,C,19
08/07/23 5:32:00 PM,C,19
08/07/23 6:02:00 PM,C,19
08/07/23 6:32:00 PM,C,19.5
08/07/23 7:02:00 PM,C,20
08/07/23 7:32:00 PM,C,20
08/07/23 8:02:00 PM,C,19.5
08/07/23 8:32:00 PM,C,19.5
08/07/23 9:02:00 PM,C,19.5
08/07/23 9:32:00 PM,C,19.5
08/07/23 10:02:00 PM,C,20
08/07/23 10:32:00 PM,C,19.5
08/07/23 11:02:00 PM,C,19.5
08/07/23 11:32:00 PM,C,19.5
09/07/23 12:02:00 AM,C,19.5
09/07/23 12:32:00 AM,C,21
09/07/23 1:02:00 AM,C,20.5
09/07/23 1:32:00 AM,C,19.5
09/07/23 2:02:00 AM,C,20
09/07/23 2:32:00 AM,C,19
09/07/23 3:02:00 AM,C,20
09/07/23 3:32:00 AM,C,20
09/07/23 4:02:00 AM,C,20
09/07/23 4:32:00 AM,C,18
09/07/23 5:02:00 AM,C,19.5
09/07/23 5:32:00 AM,C,20
09/07/23 6:02:00 AM,C,20
09/07/23 6:32:00 AM,C,20
09/07/23 7:02:00 AM,C,20
09/07/23 7:32:00 AM,C,20
09/07/23 8:02:00 AM,C,20
09/07/23 8:32:00 AM,C,20
09/07/23 9:02:00 AM,C,20
09/07/23 9:32:00 AM,C,19.5
09/07/23 10:02:00 AM,C,19.5
09/07/23 10:32:00 AM,C,20
09/07/23 11:02:00 AM,C,20
09/07/23 11:32:00 AM,C,20
