1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 980000005945EE21
Is Mission Active?  true
Mission Start:  Wed Jul 05 09:10:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  974
Total Samples:  11608
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 9:10:00 AM,C,21.5
05/07/23 9:40:00 AM,C,19.5
05/07/23 10:10:00 AM,C,20
05/07/23 10:40:00 AM,C,19.5
05/07/23 11:10:00 AM,C,18.5
05/07/23 11:40:00 AM,C,19
05/07/23 12:10:00 PM,C,16.5
05/07/23 12:40:00 PM,C,17
05/07/23 1:10:00 PM,C,17
05/07/23 1:40:00 PM,C,17.5
05/07/23 2:10:00 PM,C,21.5
05/07/23 2:40:00 PM,C,24
05/07/23 3:10:00 PM,C,24.5
05/07/23 3:40:00 PM,C,24
05/07/23 4:10:00 PM,C,25
05/07/23 4:40:00 PM,C,25
05/07/23 5:10:00 PM,C,25
05/07/23 5:40:00 PM,C,25
05/07/23 6:10:00 PM,C,24
05/07/23 6:40:00 PM,C,25
05/07/23 7:10:00 PM,C,25.5
05/07/23 7:40:00 PM,C,25
05/07/23 8:10:00 PM,C,25
05/07/23 8:40:00 PM,C,25.5
05/07/23 9:10:00 PM,C,26
05/07/23 9:40:00 PM,C,26
05/07/23 10:10:00 PM,C,26
05/07/23 10:40:00 PM,C,26
05/07/23 11:10:00 PM,C,26
05/07/23 11:40:00 PM,C,25.5
06/07/23 12:10:00 AM,C,25.5
06/07/23 12:40:00 AM,C,26
06/07/23 1:10:00 AM,C,26
06/07/23 1:40:00 AM,C,26.5
06/07/23 2:10:00 AM,C,26
06/07/23 2:40:00 AM,C,26
06/07/23 3:10:00 AM,C,26
06/07/23 3:40:00 AM,C,26
06/07/23 4:10:00 AM,C,26
06/07/23 4:40:00 AM,C,26
06/07/23 5:10:00 AM,C,26
06/07/23 5:40:00 AM,C,26
06/07/23 6:10:00 AM,C,26
06/07/23 6:40:00 AM,C,26
06/07/23 7:10:00 AM,C,26
06/07/23 7:40:00 AM,C,26.5
06/07/23 8:10:00 AM,C,26.5
06/07/23 8:40:00 AM,C,26
06/07/23 9:10:00 AM,C,25.5
06/07/23 9:40:00 AM,C,26.5
06/07/23 10:10:00 AM,C,26
06/07/23 10:40:00 AM,C,26
06/07/23 11:10:00 AM,C,26
06/07/23 11:40:00 AM,C,25.5
06/07/23 12:10:00 PM,C,25.5
06/07/23 12:40:00 PM,C,26.5
06/07/23 1:10:00 PM,C,26
06/07/23 1:40:00 PM,C,25.5
06/07/23 2:10:00 PM,C,26
06/07/23 2:40:00 PM,C,26
06/07/23 3:10:00 PM,C,26
06/07/23 3:40:00 PM,C,26
06/07/23 4:10:00 PM,C,26.5
06/07/23 4:40:00 PM,C,26.5
06/07/23 5:10:00 PM,C,26.5
06/07/23 5:40:00 PM,C,26.5
06/07/23 6:10:00 PM,C,25.5
06/07/23 6:40:00 PM,C,26
06/07/23 7:10:00 PM,C,26
06/07/23 7:40:00 PM,C,26
06/07/23 8:10:00 PM,C,27.5
06/07/23 8:40:00 PM,C,27
06/07/23 9:10:00 PM,C,26.5
06/07/23 9:40:00 PM,C,26.5
06/07/23 10:10:00 PM,C,26.5
06/07/23 10:40:00 PM,C,25
06/07/23 11:10:00 PM,C,19
06/07/23 11:40:00 PM,C,21
07/07/23 12:10:00 AM,C,23
07/07/23 12:40:00 AM,C,23.5
07/07/23 1:10:00 AM,C,24
07/07/23 1:40:00 AM,C,24
07/07/23 2:10:00 AM,C,24
07/07/23 2:40:00 AM,C,23
07/07/23 3:10:00 AM,C,23
07/07/23 3:40:00 AM,C,23
07/07/23 4:10:00 AM,C,22.5
07/07/23 4:40:00 AM,C,21.5
07/07/23 5:10:00 AM,C,22
07/07/23 5:40:00 AM,C,22
07/07/23 6:10:00 AM,C,22
07/07/23 6:40:00 AM,C,22
07/07/23 7:10:00 AM,C,21.5
07/07/23 7:40:00 AM,C,21
07/07/23 8:10:00 AM,C,21
07/07/23 8:40:00 AM,C,21.5
07/07/23 9:10:00 AM,C,21.5
07/07/23 9:40:00 AM,C,22
07/07/23 10:10:00 AM,C,22
07/07/23 10:40:00 AM,C,22.5
07/07/23 11:10:00 AM,C,21.5
07/07/23 11:40:00 AM,C,21
07/07/23 12:10:00 PM,C,22
07/07/23 12:40:00 PM,C,22
07/07/23 1:10:00 PM,C,22
07/07/23 1:40:00 PM,C,22.5
07/07/23 2:10:00 PM,C,22.5
07/07/23 2:40:00 PM,C,22.5
07/07/23 3:10:00 PM,C,22.5
07/07/23 3:40:00 PM,C,22.5
07/07/23 4:10:00 PM,C,22.5
07/07/23 4:40:00 PM,C,22
07/07/23 5:10:00 PM,C,22.5
07/07/23 5:40:00 PM,C,22.5
07/07/23 6:10:00 PM,C,22.5
07/07/23 6:40:00 PM,C,23
07/07/23 7:10:00 PM,C,23
07/07/23 7:40:00 PM,C,23.5
07/07/23 8:10:00 PM,C,24
07/07/23 8:40:00 PM,C,24
07/07/23 9:10:00 PM,C,24
07/07/23 9:40:00 PM,C,24
07/07/23 10:10:00 PM,C,24.5
07/07/23 10:40:00 PM,C,24
07/07/23 11:10:00 PM,C,24.5
07/07/23 11:40:00 PM,C,24
08/07/23 12:10:00 AM,C,23.5
08/07/23 12:40:00 AM,C,24.5
08/07/23 1:10:00 AM,C,23
08/07/23 1:40:00 AM,C,23.5
08/07/23 2:10:00 AM,C,23.5
08/07/23 2:40:00 AM,C,18
08/07/23 3:10:00 AM,C,17.5
08/07/23 3:40:00 AM,C,17.5
08/07/23 4:10:00 AM,C,17.5
08/07/23 4:40:00 AM,C,18
08/07/23 5:10:00 AM,C,17.5
08/07/23 5:40:00 AM,C,18
08/07/23 6:10:00 AM,C,16.5
08/07/23 6:40:00 AM,C,17
08/07/23 7:10:00 AM,C,17
08/07/23 7:40:00 AM,C,17
08/07/23 8:10:00 AM,C,16.5
08/07/23 8:40:00 AM,C,16.5
08/07/23 9:10:00 AM,C,16
08/07/23 9:40:00 AM,C,16
08/07/23 10:10:00 AM,C,16
08/07/23 10:40:00 AM,C,16
08/07/23 11:10:00 AM,C,16
08/07/23 11:40:00 AM,C,16.5
08/07/23 12:10:00 PM,C,16
08/07/23 12:40:00 PM,C,16
08/07/23 1:10:00 PM,C,16
08/07/23 1:40:00 PM,C,16
08/07/23 2:10:00 PM,C,16
08/07/23 2:40:00 PM,C,16.5
08/07/23 3:10:00 PM,C,18.5
08/07/23 3:40:00 PM,C,19
08/07/23 4:10:00 PM,C,19.5
08/07/23 4:40:00 PM,C,20
08/07/23 5:10:00 PM,C,20
08/07/23 5:40:00 PM,C,20
08/07/23 6:10:00 PM,C,20.5
08/07/23 6:40:00 PM,C,20
08/07/23 7:10:00 PM,C,20.5
08/07/23 7:40:00 PM,C,20
08/07/23 8:10:00 PM,C,20.5
08/07/23 8:40:00 PM,C,20.5
08/07/23 9:10:00 PM,C,20.5
08/07/23 9:40:00 PM,C,21
08/07/23 10:10:00 PM,C,20.5
08/07/23 10:40:00 PM,C,20.5
08/07/23 11:10:00 PM,C,19.5
08/07/23 11:40:00 PM,C,19
09/07/23 12:10:00 AM,C,18
09/07/23 12:40:00 AM,C,18.5
09/07/23 1:10:00 AM,C,18.5
09/07/23 1:40:00 AM,C,18.5
09/07/23 2:10:00 AM,C,18
09/07/23 2:40:00 AM,C,19
09/07/23 3:10:00 AM,C,18.5
09/07/23 3:40:00 AM,C,19.5
09/07/23 4:10:00 AM,C,22
09/07/23 4:40:00 AM,C,22
09/07/23 5:10:00 AM,C,22.5
09/07/23 5:40:00 AM,C,18
09/07/23 6:10:00 AM,C,18
09/07/23 6:40:00 AM,C,17.5
09/07/23 7:10:00 AM,C,17.5
09/07/23 7:40:00 AM,C,18
09/07/23 8:10:00 AM,C,18
09/07/23 8:40:00 AM,C,18.5
09/07/23 9:10:00 AM,C,19
09/07/23 9:40:00 AM,C,18.5
09/07/23 10:10:00 AM,C,17
09/07/23 10:40:00 AM,C,17
09/07/23 11:10:00 AM,C,17.5
09/07/23 11:40:00 AM,C,17.5
09/07/23 12:10:00 PM,C,17.5
09/07/23 12:40:00 PM,C,17
09/07/23 1:10:00 PM,C,17.5
09/07/23 1:40:00 PM,C,17
09/07/23 2:10:00 PM,C,16.5
09/07/23 2:40:00 PM,C,17
09/07/23 3:10:00 PM,C,17
09/07/23 3:40:00 PM,C,17
09/07/23 4:10:00 PM,C,17.5
09/07/23 4:40:00 PM,C,20.5
09/07/23 5:10:00 PM,C,21.5
09/07/23 5:40:00 PM,C,22
09/07/23 6:10:00 PM,C,22
09/07/23 6:40:00 PM,C,22
09/07/23 7:10:00 PM,C,22
09/07/23 7:40:00 PM,C,22
09/07/23 8:10:00 PM,C,22.5
09/07/23 8:40:00 PM,C,21
09/07/23 9:10:00 PM,C,22
09/07/23 9:40:00 PM,C,22.5
09/07/23 10:10:00 PM,C,22.5
09/07/23 10:40:00 PM,C,22
09/07/23 11:10:00 PM,C,18
09/07/23 11:40:00 PM,C,18.5
10/07/23 12:10:00 AM,C,18
10/07/23 12:40:00 AM,C,18
10/07/23 1:10:00 AM,C,18
10/07/23 1:40:00 AM,C,18
10/07/23 2:10:00 AM,C,18
10/07/23 2:40:00 AM,C,18.5
10/07/23 3:10:00 AM,C,18.5
10/07/23 3:40:00 AM,C,17.5
10/07/23 4:10:00 AM,C,17.5
10/07/23 4:40:00 AM,C,17.5
10/07/23 5:10:00 AM,C,17.5
10/07/23 5:40:00 AM,C,17.5
10/07/23 6:10:00 AM,C,18.5
10/07/23 6:40:00 AM,C,19.5
10/07/23 7:10:00 AM,C,18
10/07/23 7:40:00 AM,C,17.5
10/07/23 8:10:00 AM,C,17.5
10/07/23 8:40:00 AM,C,17.5
10/07/23 9:10:00 AM,C,16.5
10/07/23 9:40:00 AM,C,16.5
10/07/23 10:10:00 AM,C,16.5
10/07/23 10:40:00 AM,C,17
10/07/23 11:10:00 AM,C,19
10/07/23 11:40:00 AM,C,21.5
10/07/23 12:10:00 PM,C,23
10/07/23 12:40:00 PM,C,24
10/07/23 1:10:00 PM,C,24
10/07/23 1:40:00 PM,C,26
10/07/23 2:10:00 PM,C,24.5
10/07/23 2:40:00 PM,C,24
10/07/23 3:10:00 PM,C,23.5
10/07/23 3:40:00 PM,C,23
10/07/23 4:10:00 PM,C,22.5
10/07/23 4:40:00 PM,C,23.5
10/07/23 5:10:00 PM,C,23.5
10/07/23 5:40:00 PM,C,24
10/07/23 6:10:00 PM,C,24
10/07/23 6:40:00 PM,C,22
10/07/23 7:10:00 PM,C,22
10/07/23 7:40:00 PM,C,22
10/07/23 8:10:00 PM,C,22.5
10/07/23 8:40:00 PM,C,20
10/07/23 9:10:00 PM,C,20
10/07/23 9:40:00 PM,C,19.5
10/07/23 10:10:00 PM,C,20.5
10/07/23 10:40:00 PM,C,20.5
10/07/23 11:10:00 PM,C,20
10/07/23 11:40:00 PM,C,20.5
11/07/23 12:10:00 AM,C,22.5
11/07/23 12:40:00 AM,C,25.5
11/07/23 1:10:00 AM,C,23.5
11/07/23 1:40:00 AM,C,22
11/07/23 2:10:00 AM,C,22
11/07/23 2:40:00 AM,C,22.5
11/07/23 3:10:00 AM,C,21.5
11/07/23 3:40:00 AM,C,22
11/07/23 4:10:00 AM,C,22
11/07/23 4:40:00 AM,C,22.5
11/07/23 5:10:00 AM,C,22.5
11/07/23 5:40:00 AM,C,23
11/07/23 6:10:00 AM,C,23
11/07/23 6:40:00 AM,C,23
11/07/23 7:10:00 AM,C,22.5
11/07/23 7:40:00 AM,C,22.5
11/07/23 8:10:00 AM,C,22.5
11/07/23 8:40:00 AM,C,22.5
11/07/23 9:10:00 AM,C,22.5
11/07/23 9:40:00 AM,C,22.5
11/07/23 10:10:00 AM,C,24.5
11/07/23 10:40:00 AM,C,23.5
11/07/23 11:10:00 AM,C,23
11/07/23 11:40:00 AM,C,23
11/07/23 12:10:00 PM,C,23
11/07/23 12:40:00 PM,C,22.5
11/07/23 1:10:00 PM,C,22
11/07/23 1:40:00 PM,C,22
11/07/23 2:10:00 PM,C,23
11/07/23 2:40:00 PM,C,22.5
11/07/23 3:10:00 PM,C,22.5
11/07/23 3:40:00 PM,C,22
11/07/23 4:10:00 PM,C,22
11/07/23 4:40:00 PM,C,22
11/07/23 5:10:00 PM,C,22.5
11/07/23 5:40:00 PM,C,22.5
11/07/23 6:10:00 PM,C,22
11/07/23 6:40:00 PM,C,22.5
11/07/23 7:10:00 PM,C,22.5
11/07/23 7:40:00 PM,C,22.5
11/07/23 8:10:00 PM,C,22.5
11/07/23 8:40:00 PM,C,26
11/07/23 9:10:00 PM,C,23
11/07/23 9:40:00 PM,C,22
11/07/23 10:10:00 PM,C,26
11/07/23 10:40:00 PM,C,22.5
11/07/23 11:10:00 PM,C,22
11/07/23 11:40:00 PM,C,22
12/07/23 12:10:00 AM,C,22.5
12/07/23 12:40:00 AM,C,21.5
12/07/23 1:10:00 AM,C,21.5
12/07/23 1:40:00 AM,C,21.5
12/07/23 2:10:00 AM,C,21
12/07/23 2:40:00 AM,C,21.5
12/07/23 3:10:00 AM,C,21
12/07/23 3:40:00 AM,C,21
12/07/23 4:10:00 AM,C,21
12/07/23 4:40:00 AM,C,22.5
12/07/23 5:10:00 AM,C,22
12/07/23 5:40:00 AM,C,22
12/07/23 6:10:00 AM,C,22
12/07/23 6:40:00 AM,C,22
12/07/23 7:10:00 AM,C,22
12/07/23 7:40:00 AM,C,21.5
12/07/23 8:10:00 AM,C,21.5
12/07/23 8:40:00 AM,C,24
12/07/23 9:10:00 AM,C,26
12/07/23 9:40:00 AM,C,26
12/07/23 10:10:00 AM,C,24
