1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: DB000000594AAD21
Is Mission Active?  true
Mission Start:  Wed Jul 05 09:07:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  974
Total Samples:  27276
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 9:07:00 AM,C,23.5
05/07/23 9:37:00 AM,C,19.5
05/07/23 10:07:00 AM,C,19.5
05/07/23 10:37:00 AM,C,19
05/07/23 11:07:00 AM,C,18.5
05/07/23 11:37:00 AM,C,17.5
05/07/23 12:07:00 PM,C,14
05/07/23 12:37:00 PM,C,14
05/07/23 1:07:00 PM,C,14
05/07/23 1:37:00 PM,C,14
05/07/23 2:07:00 PM,C,14.5
05/07/23 2:37:00 PM,C,15
05/07/23 3:07:00 PM,C,15
05/07/23 3:37:00 PM,C,15.5
05/07/23 4:07:00 PM,C,16
05/07/23 4:37:00 PM,C,18.5
05/07/23 5:07:00 PM,C,17
05/07/23 5:37:00 PM,C,16
05/07/23 6:07:00 PM,C,15.5
05/07/23 6:37:00 PM,C,15
05/07/23 7:07:00 PM,C,15
05/07/23 7:37:00 PM,C,15
05/07/23 8:07:00 PM,C,15
05/07/23 8:37:00 PM,C,15
05/07/23 9:07:00 PM,C,14.5
05/07/23 9:37:00 PM,C,14
05/07/23 10:07:00 PM,C,14
05/07/23 10:37:00 PM,C,14
05/07/23 11:07:00 PM,C,13.5
05/07/23 11:37:00 PM,C,13.5
06/07/23 12:07:00 AM,C,13.5
06/07/23 12:37:00 AM,C,13.5
06/07/23 1:07:00 AM,C,13
06/07/23 1:37:00 AM,C,13
06/07/23 2:07:00 AM,C,13
06/07/23 2:37:00 AM,C,13
06/07/23 3:07:00 AM,C,13
06/07/23 3:37:00 AM,C,12.5
06/07/23 4:07:00 AM,C,12.5
06/07/23 4:37:00 AM,C,12.5
06/07/23 5:07:00 AM,C,12.5
06/07/23 5:37:00 AM,C,12.5
06/07/23 6:07:00 AM,C,12.5
06/07/23 6:37:00 AM,C,12.5
06/07/23 7:07:00 AM,C,12.5
06/07/23 7:37:00 AM,C,12.5
06/07/23 8:07:00 AM,C,12.5
06/07/23 8:37:00 AM,C,13
06/07/23 9:07:00 AM,C,13
06/07/23 9:37:00 AM,C,13
06/07/23 10:07:00 AM,C,13.5
06/07/23 10:37:00 AM,C,13.5
06/07/23 11:07:00 AM,C,13.5
06/07/23 11:37:00 AM,C,14
06/07/23 12:07:00 PM,C,14
06/07/23 12:37:00 PM,C,14
06/07/23 1:07:00 PM,C,14
06/07/23 1:37:00 PM,C,14
06/07/23 2:07:00 PM,C,14.5
06/07/23 2:37:00 PM,C,14.5
06/07/23 3:07:00 PM,C,14.5
06/07/23 3:37:00 PM,C,15
06/07/23 4:07:00 PM,C,15.5
06/07/23 4:37:00 PM,C,15.5
06/07/23 5:07:00 PM,C,15.5
06/07/23 5:37:00 PM,C,15
06/07/23 6:07:00 PM,C,15
06/07/23 6:37:00 PM,C,14.5
06/07/23 7:07:00 PM,C,14.5
06/07/23 7:37:00 PM,C,14.5
06/07/23 8:07:00 PM,C,14.5
06/07/23 8:37:00 PM,C,14
06/07/23 9:07:00 PM,C,14
06/07/23 9:37:00 PM,C,13.5
06/07/23 10:07:00 PM,C,13.5
06/07/23 10:37:00 PM,C,13.5
06/07/23 11:07:00 PM,C,13.5
06/07/23 11:37:00 PM,C,13.5
07/07/23 12:07:00 AM,C,13
07/07/23 12:37:00 AM,C,13
07/07/23 1:07:00 AM,C,13
07/07/23 1:37:00 AM,C,13
07/07/23 2:07:00 AM,C,13
07/07/23 2:37:00 AM,C,12.5
07/07/23 3:07:00 AM,C,12.5
07/07/23 3:37:00 AM,C,12.5
07/07/23 4:07:00 AM,C,12.5
07/07/23 4:37:00 AM,C,12.5
07/07/23 5:07:00 AM,C,12.5
07/07/23 5:37:00 AM,C,12.5
07/07/23 6:07:00 AM,C,12.5
07/07/23 6:37:00 AM,C,12.5
07/07/23 7:07:00 AM,C,12.5
07/07/23 7:37:00 AM,C,12.5
07/07/23 8:07:00 AM,C,12.5
07/07/23 8:37:00 AM,C,13
07/07/23 9:07:00 AM,C,13
07/07/23 9:37:00 AM,C,13
