1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0800000059686C21
Is Mission Active?  true
Mission Start:  Wed Jul 05 09:09:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  973
Total Samples:  28389
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 9:09:00 AM,C,21
05/07/23 9:39:00 AM,C,19.5
05/07/23 10:09:00 AM,C,19.5
05/07/23 10:39:00 AM,C,19
05/07/23 11:09:00 AM,C,18.5
05/07/23 11:39:00 AM,C,18
05/07/23 12:09:00 PM,C,18
05/07/23 12:39:00 PM,C,17.5
05/07/23 1:09:00 PM,C,17.5
05/07/23 1:39:00 PM,C,17
05/07/23 2:09:00 PM,C,17
05/07/23 2:39:00 PM,C,18
05/07/23 3:09:00 PM,C,18
05/07/23 3:39:00 PM,C,18
05/07/23 4:09:00 PM,C,18
05/07/23 4:39:00 PM,C,18
05/07/23 5:09:00 PM,C,18
05/07/23 5:39:00 PM,C,18
05/07/23 6:09:00 PM,C,18
05/07/23 6:39:00 PM,C,18
05/07/23 7:09:00 PM,C,18
05/07/23 7:39:00 PM,C,18
05/07/23 8:09:00 PM,C,18
05/07/23 8:39:00 PM,C,18
05/07/23 9:09:00 PM,C,17.5
05/07/23 9:39:00 PM,C,17.5
05/07/23 10:09:00 PM,C,17.5
05/07/23 10:39:00 PM,C,18
05/07/23 11:09:00 PM,C,18
05/07/23 11:39:00 PM,C,16
06/07/23 12:09:00 AM,C,17
06/07/23 12:39:00 AM,C,17.5
06/07/23 1:09:00 AM,C,17.5
06/07/23 1:39:00 AM,C,17
06/07/23 2:09:00 AM,C,21
06/07/23 2:39:00 AM,C,19
06/07/23 3:09:00 AM,C,18
06/07/23 3:39:00 AM,C,17.5
06/07/23 4:09:00 AM,C,17.5
06/07/23 4:39:00 AM,C,17.5
06/07/23 5:09:00 AM,C,18
