1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4800000059658B21
Is Mission Active?  true
Mission Start:  Wed Jul 05 09:11:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  974
Total Samples:  11615
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 9:11:00 AM,C,21
05/07/23 9:41:00 AM,C,19.5
05/07/23 10:11:00 AM,C,20
05/07/23 10:41:00 AM,C,19
05/07/23 11:11:00 AM,C,18.5
05/07/23 11:41:00 AM,C,20
05/07/23 12:11:00 PM,C,22
05/07/23 12:41:00 PM,C,22.5
05/07/23 1:11:00 PM,C,22
05/07/23 1:41:00 PM,C,24.5
05/07/23 2:11:00 PM,C,25
05/07/23 2:41:00 PM,C,25
05/07/23 3:11:00 PM,C,24
05/07/23 3:41:00 PM,C,24
05/07/23 4:11:00 PM,C,23.5
05/07/23 4:41:00 PM,C,24
05/07/23 5:11:00 PM,C,24
05/07/23 5:41:00 PM,C,24
05/07/23 6:11:00 PM,C,23
05/07/23 6:41:00 PM,C,23
05/07/23 7:11:00 PM,C,22.5
05/07/23 7:41:00 PM,C,22.5
05/07/23 8:11:00 PM,C,23
05/07/23 8:41:00 PM,C,23
05/07/23 9:11:00 PM,C,23
05/07/23 9:41:00 PM,C,23
05/07/23 10:11:00 PM,C,22
05/07/23 10:41:00 PM,C,21.5
05/07/23 11:11:00 PM,C,21.5
05/07/23 11:41:00 PM,C,21.5
06/07/23 12:11:00 AM,C,21.5
06/07/23 12:41:00 AM,C,21.5
06/07/23 1:11:00 AM,C,21.5
06/07/23 1:41:00 AM,C,22
06/07/23 2:11:00 AM,C,22
06/07/23 2:41:00 AM,C,22.5
06/07/23 3:11:00 AM,C,22.5
06/07/23 3:41:00 AM,C,23
06/07/23 4:11:00 AM,C,23
06/07/23 4:41:00 AM,C,22.5
06/07/23 5:11:00 AM,C,22.5
06/07/23 5:41:00 AM,C,23
06/07/23 6:11:00 AM,C,22.5
06/07/23 6:41:00 AM,C,23.5
06/07/23 7:11:00 AM,C,23.5
06/07/23 7:41:00 AM,C,24
06/07/23 8:11:00 AM,C,24
06/07/23 8:41:00 AM,C,23.5
06/07/23 9:11:00 AM,C,23.5
06/07/23 9:41:00 AM,C,23.5
06/07/23 10:11:00 AM,C,23.5
06/07/23 10:41:00 AM,C,24
06/07/23 11:11:00 AM,C,23.5
06/07/23 11:41:00 AM,C,23.5
06/07/23 12:11:00 PM,C,23.5
06/07/23 12:41:00 PM,C,23.5
06/07/23 1:11:00 PM,C,23.5
06/07/23 1:41:00 PM,C,23.5
06/07/23 2:11:00 PM,C,23.5
06/07/23 2:41:00 PM,C,24
06/07/23 3:11:00 PM,C,24
06/07/23 3:41:00 PM,C,23.5
06/07/23 4:11:00 PM,C,24
06/07/23 4:41:00 PM,C,23.5
06/07/23 5:11:00 PM,C,23.5
06/07/23 5:41:00 PM,C,23.5
06/07/23 6:11:00 PM,C,22
06/07/23 6:41:00 PM,C,22
06/07/23 7:11:00 PM,C,22.5
06/07/23 7:41:00 PM,C,23
06/07/23 8:11:00 PM,C,23
06/07/23 8:41:00 PM,C,23
06/07/23 9:11:00 PM,C,23
06/07/23 9:41:00 PM,C,23.5
06/07/23 10:11:00 PM,C,23.5
06/07/23 10:41:00 PM,C,23.5
06/07/23 11:11:00 PM,C,23.5
06/07/23 11:41:00 PM,C,22.5
07/07/23 12:11:00 AM,C,23.5
07/07/23 12:41:00 AM,C,23.5
07/07/23 1:11:00 AM,C,28.5
07/07/23 1:41:00 AM,C,27
07/07/23 2:11:00 AM,C,27.5
07/07/23 2:41:00 AM,C,27
07/07/23 3:11:00 AM,C,27.5
07/07/23 3:41:00 AM,C,27
07/07/23 4:11:00 AM,C,27
07/07/23 4:41:00 AM,C,26.5
07/07/23 5:11:00 AM,C,26.5
07/07/23 5:41:00 AM,C,25.5
07/07/23 6:11:00 AM,C,27.5
07/07/23 6:41:00 AM,C,28
07/07/23 7:11:00 AM,C,28
07/07/23 7:41:00 AM,C,28.5
07/07/23 8:11:00 AM,C,30.5
07/07/23 8:41:00 AM,C,30
07/07/23 9:11:00 AM,C,29.5
07/07/23 9:41:00 AM,C,28.5
07/07/23 10:11:00 AM,C,27
07/07/23 10:41:00 AM,C,23.5
07/07/23 11:11:00 AM,C,25
07/07/23 11:41:00 AM,C,25.5
07/07/23 12:11:00 PM,C,25.5
07/07/23 12:41:00 PM,C,26.5
07/07/23 1:11:00 PM,C,26
07/07/23 1:41:00 PM,C,26.5
07/07/23 2:11:00 PM,C,25.5
07/07/23 2:41:00 PM,C,27
07/07/23 3:11:00 PM,C,27
07/07/23 3:41:00 PM,C,27
07/07/23 4:11:00 PM,C,25.5
07/07/23 4:41:00 PM,C,27
07/07/23 5:11:00 PM,C,27
07/07/23 5:41:00 PM,C,27
07/07/23 6:11:00 PM,C,26
07/07/23 6:41:00 PM,C,26.5
07/07/23 7:11:00 PM,C,25.5
07/07/23 7:41:00 PM,C,23.5
07/07/23 8:11:00 PM,C,21.5
07/07/23 8:41:00 PM,C,21.5
07/07/23 9:11:00 PM,C,21.5
07/07/23 9:41:00 PM,C,22
07/07/23 10:11:00 PM,C,22
07/07/23 10:41:00 PM,C,21.5
07/07/23 11:11:00 PM,C,20.5
07/07/23 11:41:00 PM,C,20.5
08/07/23 12:11:00 AM,C,20.5
08/07/23 12:41:00 AM,C,20
08/07/23 1:11:00 AM,C,20.5
08/07/23 1:41:00 AM,C,21.5
08/07/23 2:11:00 AM,C,21.5
08/07/23 2:41:00 AM,C,21
08/07/23 3:11:00 AM,C,21.5
08/07/23 3:41:00 AM,C,21
08/07/23 4:11:00 AM,C,20.5
08/07/23 4:41:00 AM,C,20.5
08/07/23 5:11:00 AM,C,20.5
08/07/23 5:41:00 AM,C,21
08/07/23 6:11:00 AM,C,21
08/07/23 6:41:00 AM,C,21.5
08/07/23 7:11:00 AM,C,22
08/07/23 7:41:00 AM,C,22
08/07/23 8:11:00 AM,C,22
08/07/23 8:41:00 AM,C,21.5
08/07/23 9:11:00 AM,C,21.5
08/07/23 9:41:00 AM,C,21.5
08/07/23 10:11:00 AM,C,21.5
08/07/23 10:41:00 AM,C,21
08/07/23 11:11:00 AM,C,21.5
08/07/23 11:41:00 AM,C,21.5
08/07/23 12:11:00 PM,C,21.5
08/07/23 12:41:00 PM,C,22.5
08/07/23 1:11:00 PM,C,22.5
08/07/23 1:41:00 PM,C,22.5
08/07/23 2:11:00 PM,C,22
08/07/23 2:41:00 PM,C,21.5
08/07/23 3:11:00 PM,C,21.5
08/07/23 3:41:00 PM,C,21.5
08/07/23 4:11:00 PM,C,22.5
08/07/23 4:41:00 PM,C,22.5
08/07/23 5:11:00 PM,C,22
08/07/23 5:41:00 PM,C,22
08/07/23 6:11:00 PM,C,22
08/07/23 6:41:00 PM,C,21.5
08/07/23 7:11:00 PM,C,21.5
08/07/23 7:41:00 PM,C,21.5
08/07/23 8:11:00 PM,C,21.5
08/07/23 8:41:00 PM,C,22
08/07/23 9:11:00 PM,C,22
08/07/23 9:41:00 PM,C,22.5
08/07/23 10:11:00 PM,C,22
08/07/23 10:41:00 PM,C,20
08/07/23 11:11:00 PM,C,19.5
08/07/23 11:41:00 PM,C,18.5
09/07/23 12:11:00 AM,C,19
09/07/23 12:41:00 AM,C,18.5
09/07/23 1:11:00 AM,C,18.5
09/07/23 1:41:00 AM,C,19
09/07/23 2:11:00 AM,C,19
09/07/23 2:41:00 AM,C,18.5
09/07/23 3:11:00 AM,C,18.5
09/07/23 3:41:00 AM,C,18.5
09/07/23 4:11:00 AM,C,18.5
09/07/23 4:41:00 AM,C,18
09/07/23 5:11:00 AM,C,18.5
09/07/23 5:41:00 AM,C,18
09/07/23 6:11:00 AM,C,18
09/07/23 6:41:00 AM,C,18
09/07/23 7:11:00 AM,C,18
09/07/23 7:41:00 AM,C,17.5
09/07/23 8:11:00 AM,C,18
09/07/23 8:41:00 AM,C,18
09/07/23 9:11:00 AM,C,18
09/07/23 9:41:00 AM,C,18
09/07/23 10:11:00 AM,C,17
09/07/23 10:41:00 AM,C,18
09/07/23 11:11:00 AM,C,18
09/07/23 11:41:00 AM,C,18
09/07/23 12:11:00 PM,C,18.5
09/07/23 12:41:00 PM,C,18.5
09/07/23 1:11:00 PM,C,18.5
09/07/23 1:41:00 PM,C,18
09/07/23 2:11:00 PM,C,18
09/07/23 2:41:00 PM,C,18
09/07/23 3:11:00 PM,C,18
09/07/23 3:41:00 PM,C,18
09/07/23 4:11:00 PM,C,18
09/07/23 4:41:00 PM,C,18.5
09/07/23 5:11:00 PM,C,19
09/07/23 5:41:00 PM,C,19
09/07/23 6:11:00 PM,C,18.5
09/07/23 6:41:00 PM,C,18.5
09/07/23 7:11:00 PM,C,18.5
09/07/23 7:41:00 PM,C,18.5
09/07/23 8:11:00 PM,C,18.5
09/07/23 8:41:00 PM,C,19
09/07/23 9:11:00 PM,C,19.5
09/07/23 9:41:00 PM,C,18.5
09/07/23 10:11:00 PM,C,17.5
09/07/23 10:41:00 PM,C,17.5
09/07/23 11:11:00 PM,C,18
09/07/23 11:41:00 PM,C,18
10/07/23 12:11:00 AM,C,17.5
10/07/23 12:41:00 AM,C,17.5
10/07/23 1:11:00 AM,C,18
10/07/23 1:41:00 AM,C,17.5
10/07/23 2:11:00 AM,C,18
10/07/23 2:41:00 AM,C,18
10/07/23 3:11:00 AM,C,18
10/07/23 3:41:00 AM,C,18
10/07/23 4:11:00 AM,C,17.5
10/07/23 4:41:00 AM,C,16.5
10/07/23 5:11:00 AM,C,17
10/07/23 5:41:00 AM,C,17
10/07/23 6:11:00 AM,C,17.5
10/07/23 6:41:00 AM,C,18
10/07/23 7:11:00 AM,C,18
10/07/23 7:41:00 AM,C,18
10/07/23 8:11:00 AM,C,18.5
10/07/23 8:41:00 AM,C,18.5
10/07/23 9:11:00 AM,C,18.5
10/07/23 9:41:00 AM,C,18
10/07/23 10:11:00 AM,C,17.5
10/07/23 10:41:00 AM,C,16.5
10/07/23 11:11:00 AM,C,16.5
10/07/23 11:41:00 AM,C,16.5
10/07/23 12:11:00 PM,C,16
10/07/23 12:41:00 PM,C,15.5
10/07/23 1:11:00 PM,C,16
10/07/23 1:41:00 PM,C,16
10/07/23 2:11:00 PM,C,16
10/07/23 2:41:00 PM,C,16
10/07/23 3:11:00 PM,C,16
10/07/23 3:41:00 PM,C,16
10/07/23 4:11:00 PM,C,16
10/07/23 4:41:00 PM,C,16
10/07/23 5:11:00 PM,C,16
10/07/23 5:41:00 PM,C,15.5
