1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8E0000005948F621
Is Mission Active?  false
Mission Start:  Wed Jul 05 09:08:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  974
Total Samples:  44250
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 9:08:00 AM,C,21.5
05/07/23 9:38:00 AM,C,20
05/07/23 10:08:00 AM,C,20
05/07/23 10:38:00 AM,C,19.5
05/07/23 11:08:00 AM,C,18.5
05/07/23 11:38:00 AM,C,15
05/07/23 12:08:00 PM,C,15
05/07/23 12:38:00 PM,C,15
05/07/23 1:08:00 PM,C,15.5
05/07/23 1:38:00 PM,C,15.5
05/07/23 2:08:00 PM,C,15.5
05/07/23 2:38:00 PM,C,15.5
05/07/23 3:08:00 PM,C,15.5
05/07/23 3:38:00 PM,C,15.5
05/07/23 4:08:00 PM,C,15.5
05/07/23 4:38:00 PM,C,16
05/07/23 5:08:00 PM,C,16
05/07/23 5:38:00 PM,C,15.5
05/07/23 6:08:00 PM,C,15.5
05/07/23 6:38:00 PM,C,15.5
05/07/23 7:08:00 PM,C,15.5
05/07/23 7:38:00 PM,C,15.5
05/07/23 8:08:00 PM,C,15.5
05/07/23 8:38:00 PM,C,15.5
05/07/23 9:08:00 PM,C,15
05/07/23 9:38:00 PM,C,15
05/07/23 10:08:00 PM,C,14.5
05/07/23 10:38:00 PM,C,14.5
05/07/23 11:08:00 PM,C,14.5
05/07/23 11:38:00 PM,C,14.5
06/07/23 12:08:00 AM,C,14.5
06/07/23 12:38:00 AM,C,14
06/07/23 1:08:00 AM,C,14
06/07/23 1:38:00 AM,C,14
06/07/23 2:08:00 AM,C,13.5
06/07/23 2:38:00 AM,C,13.5
06/07/23 3:08:00 AM,C,13.5
06/07/23 3:38:00 AM,C,13.5
