1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6300000059600521
Is Mission Active?  true
Mission Start:  Wed Jul 05 08:54:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  974
Total Samples:  39582
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 8:54:00 AM,C,22.5
05/07/23 9:24:00 AM,C,20.5
05/07/23 9:54:00 AM,C,20.5
05/07/23 10:24:00 AM,C,19.5
05/07/23 10:54:00 AM,C,18.5
05/07/23 11:24:00 AM,C,22.5
05/07/23 11:54:00 AM,C,21.5
05/07/23 12:24:00 PM,C,21.5
05/07/23 12:54:00 PM,C,21.5
05/07/23 1:24:00 PM,C,21.5
05/07/23 1:54:00 PM,C,20.5
05/07/23 2:24:00 PM,C,21
05/07/23 2:54:00 PM,C,20.5
05/07/23 3:24:00 PM,C,20.5
05/07/23 3:54:00 PM,C,20
05/07/23 4:24:00 PM,C,20
05/07/23 4:54:00 PM,C,20.5
05/07/23 5:24:00 PM,C,20.5
05/07/23 5:54:00 PM,C,20.5
05/07/23 6:24:00 PM,C,21
05/07/23 6:54:00 PM,C,21
05/07/23 7:24:00 PM,C,21
05/07/23 7:54:00 PM,C,21
05/07/23 8:24:00 PM,C,21
05/07/23 8:54:00 PM,C,21
05/07/23 9:24:00 PM,C,21.5
05/07/23 9:54:00 PM,C,21
05/07/23 10:24:00 PM,C,21
05/07/23 10:54:00 PM,C,19.5
05/07/23 11:24:00 PM,C,20
05/07/23 11:54:00 PM,C,19.5
06/07/23 12:24:00 AM,C,18.5
06/07/23 12:54:00 AM,C,19.5
06/07/23 1:24:00 AM,C,19.5
06/07/23 1:54:00 AM,C,20
06/07/23 2:24:00 AM,C,20
06/07/23 2:54:00 AM,C,20
06/07/23 3:24:00 AM,C,20.5
06/07/23 3:54:00 AM,C,20.5
06/07/23 4:24:00 AM,C,20.5
06/07/23 4:54:00 AM,C,20.5
06/07/23 5:24:00 AM,C,20.5
06/07/23 5:54:00 AM,C,20.5
06/07/23 6:24:00 AM,C,20.5
06/07/23 6:54:00 AM,C,21
06/07/23 7:24:00 AM,C,20.5
06/07/23 7:54:00 AM,C,21
06/07/23 8:24:00 AM,C,24
06/07/23 8:54:00 AM,C,24
06/07/23 9:24:00 AM,C,24.5
06/07/23 9:54:00 AM,C,25
06/07/23 10:24:00 AM,C,25
06/07/23 10:54:00 AM,C,25
06/07/23 11:24:00 AM,C,25.5
06/07/23 11:54:00 AM,C,25.5
06/07/23 12:24:00 PM,C,25
06/07/23 12:54:00 PM,C,25.5
06/07/23 1:24:00 PM,C,25.5
06/07/23 1:54:00 PM,C,25
06/07/23 2:24:00 PM,C,24.5
06/07/23 2:54:00 PM,C,24.5
06/07/23 3:24:00 PM,C,24.5
06/07/23 3:54:00 PM,C,24.5
06/07/23 4:24:00 PM,C,25
06/07/23 4:54:00 PM,C,25
06/07/23 5:24:00 PM,C,25.5
06/07/23 5:54:00 PM,C,25.5
