1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3400000059473B21
Is Mission Active?  true
Mission Start:  Wed Jul 05 08:52:00 ADT 2023
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  975
Total Samples:  48344
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/07/23 8:52:00 AM,C,20.5
05/07/23 9:22:00 AM,C,20.5
05/07/23 9:52:00 AM,C,19.5
05/07/23 10:22:00 AM,C,19.5
05/07/23 10:52:00 AM,C,18
05/07/23 11:22:00 AM,C,18.5
05/07/23 11:52:00 AM,C,16.5
05/07/23 12:22:00 PM,C,16.5
05/07/23 12:52:00 PM,C,17.5
05/07/23 1:22:00 PM,C,17
05/07/23 1:52:00 PM,C,17
05/07/23 2:22:00 PM,C,17
05/07/23 2:52:00 PM,C,17
05/07/23 3:22:00 PM,C,17
05/07/23 3:52:00 PM,C,16.5
05/07/23 4:22:00 PM,C,16.5
05/07/23 4:52:00 PM,C,16.5
05/07/23 5:22:00 PM,C,16.5
05/07/23 5:52:00 PM,C,16
05/07/23 6:22:00 PM,C,16
05/07/23 6:52:00 PM,C,15.5
05/07/23 7:22:00 PM,C,16
05/07/23 7:52:00 PM,C,16
05/07/23 8:22:00 PM,C,16
05/07/23 8:52:00 PM,C,15.5
05/07/23 9:22:00 PM,C,15
05/07/23 9:52:00 PM,C,15
05/07/23 10:22:00 PM,C,14.5
05/07/23 10:52:00 PM,C,14.5
05/07/23 11:22:00 PM,C,14.5
05/07/23 11:52:00 PM,C,14.5
06/07/23 12:22:00 AM,C,14
06/07/23 12:52:00 AM,C,14
06/07/23 1:22:00 AM,C,14
06/07/23 1:52:00 AM,C,14
06/07/23 2:22:00 AM,C,13.5
06/07/23 2:52:00 AM,C,13.5
06/07/23 3:22:00 AM,C,13.5
06/07/23 3:52:00 AM,C,13.5
06/07/23 4:22:00 AM,C,13.5
06/07/23 4:52:00 AM,C,13.5
06/07/23 5:22:00 AM,C,13.5
06/07/23 5:52:00 AM,C,13.5
06/07/23 6:22:00 AM,C,13.5
06/07/23 6:52:00 AM,C,13.5
06/07/23 7:22:00 AM,C,14
06/07/23 7:52:00 AM,C,14
06/07/23 8:22:00 AM,C,14.5
06/07/23 8:52:00 AM,C,15
06/07/23 9:22:00 AM,C,15.5
06/07/23 9:52:00 AM,C,16
06/07/23 10:22:00 AM,C,16.5
06/07/23 10:52:00 AM,C,17.5
06/07/23 11:22:00 AM,C,23.5
06/07/23 11:52:00 AM,C,23
06/07/23 12:22:00 PM,C,21
06/07/23 12:52:00 PM,C,19
06/07/23 1:22:00 PM,C,18.5
06/07/23 1:52:00 PM,C,18
06/07/23 2:22:00 PM,C,17.5
06/07/23 2:52:00 PM,C,17.5
06/07/23 3:22:00 PM,C,17.5
06/07/23 3:52:00 PM,C,17
06/07/23 4:22:00 PM,C,17
06/07/23 4:52:00 PM,C,17
06/07/23 5:22:00 PM,C,16.5
06/07/23 5:52:00 PM,C,16.5
06/07/23 6:22:00 PM,C,16.5
06/07/23 6:52:00 PM,C,16.5
06/07/23 7:22:00 PM,C,16
06/07/23 7:52:00 PM,C,16
06/07/23 8:22:00 PM,C,16
06/07/23 8:52:00 PM,C,15.5
06/07/23 9:22:00 PM,C,15
06/07/23 9:52:00 PM,C,15
06/07/23 10:22:00 PM,C,15
06/07/23 10:52:00 PM,C,15
06/07/23 11:22:00 PM,C,14.5
06/07/23 11:52:00 PM,C,14.5
07/07/23 12:22:00 AM,C,14.5
07/07/23 12:52:00 AM,C,14
07/07/23 1:22:00 AM,C,14
07/07/23 1:52:00 AM,C,14
07/07/23 2:22:00 AM,C,14
07/07/23 2:52:00 AM,C,14
07/07/23 3:22:00 AM,C,14
07/07/23 3:52:00 AM,C,13.5
07/07/23 4:22:00 AM,C,13.5
07/07/23 4:52:00 AM,C,13.5
07/07/23 5:22:00 AM,C,13.5
07/07/23 5:52:00 AM,C,13.5
07/07/23 6:22:00 AM,C,13.5
07/07/23 6:52:00 AM,C,13.5
07/07/23 7:22:00 AM,C,14
07/07/23 7:52:00 AM,C,14
07/07/23 8:22:00 AM,C,14.5
07/07/23 8:52:00 AM,C,15
07/07/23 9:22:00 AM,C,15
07/07/23 9:52:00 AM,C,15.5
07/07/23 10:22:00 AM,C,16.5
07/07/23 10:52:00 AM,C,17
07/07/23 11:22:00 AM,C,18.5
07/07/23 11:52:00 AM,C,18
07/07/23 12:22:00 PM,C,18.5
07/07/23 12:52:00 PM,C,18
07/07/23 1:22:00 PM,C,17.5
07/07/23 1:52:00 PM,C,17
07/07/23 2:22:00 PM,C,17
07/07/23 2:52:00 PM,C,17
07/07/23 3:22:00 PM,C,16.5
07/07/23 3:52:00 PM,C,16.5
07/07/23 4:22:00 PM,C,16.5
07/07/23 4:52:00 PM,C,16.5
07/07/23 5:22:00 PM,C,16.5
07/07/23 5:52:00 PM,C,16.5
07/07/23 6:22:00 PM,C,16.5
07/07/23 6:52:00 PM,C,16
07/07/23 7:22:00 PM,C,16
07/07/23 7:52:00 PM,C,16
07/07/23 8:22:00 PM,C,15.5
07/07/23 8:52:00 PM,C,15.5
07/07/23 9:22:00 PM,C,15.5
07/07/23 9:52:00 PM,C,15.5
07/07/23 10:22:00 PM,C,15
07/07/23 10:52:00 PM,C,15
07/07/23 11:22:00 PM,C,15
07/07/23 11:52:00 PM,C,14.5
08/07/23 12:22:00 AM,C,14.5
08/07/23 12:52:00 AM,C,14.5
08/07/23 1:22:00 AM,C,14.5
08/07/23 1:52:00 AM,C,14.5
08/07/23 2:22:00 AM,C,14
08/07/23 2:52:00 AM,C,14
08/07/23 3:22:00 AM,C,14
08/07/23 3:52:00 AM,C,14
08/07/23 4:22:00 AM,C,14
08/07/23 4:52:00 AM,C,14
08/07/23 5:22:00 AM,C,14
08/07/23 5:52:00 AM,C,14
08/07/23 6:22:00 AM,C,14
08/07/23 6:52:00 AM,C,14
08/07/23 7:22:00 AM,C,14
08/07/23 7:52:00 AM,C,14
08/07/23 8:22:00 AM,C,14.5
08/07/23 8:52:00 AM,C,14.5
08/07/23 9:22:00 AM,C,14.5
08/07/23 9:52:00 AM,C,15
08/07/23 10:22:00 AM,C,15
08/07/23 10:52:00 AM,C,15.5
08/07/23 11:22:00 AM,C,17
08/07/23 11:52:00 AM,C,16
08/07/23 12:22:00 PM,C,16
08/07/23 12:52:00 PM,C,16
08/07/23 1:22:00 PM,C,16
08/07/23 1:52:00 PM,C,16
08/07/23 2:22:00 PM,C,16
08/07/23 2:52:00 PM,C,16
08/07/23 3:22:00 PM,C,16
08/07/23 3:52:00 PM,C,16
08/07/23 4:22:00 PM,C,16
08/07/23 4:52:00 PM,C,16
08/07/23 5:22:00 PM,C,16
08/07/23 5:52:00 PM,C,16
08/07/23 6:22:00 PM,C,15.5
08/07/23 6:52:00 PM,C,15.5
08/07/23 7:22:00 PM,C,15.5
08/07/23 7:52:00 PM,C,15.5
08/07/23 8:22:00 PM,C,15.5
08/07/23 8:52:00 PM,C,15.5
08/07/23 9:22:00 PM,C,15.5
08/07/23 9:52:00 PM,C,15
08/07/23 10:22:00 PM,C,15
08/07/23 10:52:00 PM,C,15
08/07/23 11:22:00 PM,C,14.5
08/07/23 11:52:00 PM,C,14.5
09/07/23 12:22:00 AM,C,14.5
09/07/23 12:52:00 AM,C,14.5
09/07/23 1:22:00 AM,C,14.5
09/07/23 1:52:00 AM,C,14
09/07/23 2:22:00 AM,C,14
09/07/23 2:52:00 AM,C,14
09/07/23 3:22:00 AM,C,14
09/07/23 3:52:00 AM,C,14
09/07/23 4:22:00 AM,C,14
09/07/23 4:52:00 AM,C,13.5
09/07/23 5:22:00 AM,C,14
09/07/23 5:52:00 AM,C,14
09/07/23 6:22:00 AM,C,14
09/07/23 6:52:00 AM,C,14
09/07/23 7:22:00 AM,C,14
09/07/23 7:52:00 AM,C,14
09/07/23 8:22:00 AM,C,14.5
09/07/23 8:52:00 AM,C,15
09/07/23 9:22:00 AM,C,15
09/07/23 9:52:00 AM,C,15.5
09/07/23 10:22:00 AM,C,16
09/07/23 10:52:00 AM,C,16.5
09/07/23 11:22:00 AM,C,16.5
09/07/23 11:52:00 AM,C,17.5
09/07/23 12:22:00 PM,C,19
09/07/23 12:52:00 PM,C,18.5
09/07/23 1:22:00 PM,C,17
09/07/23 1:52:00 PM,C,17
09/07/23 2:22:00 PM,C,17
09/07/23 2:52:00 PM,C,17
09/07/23 3:22:00 PM,C,17
09/07/23 3:52:00 PM,C,16.5
09/07/23 4:22:00 PM,C,16.5
09/07/23 4:52:00 PM,C,17
09/07/23 5:22:00 PM,C,17
09/07/23 5:52:00 PM,C,16.5
09/07/23 6:22:00 PM,C,16.5
09/07/23 6:52:00 PM,C,16.5
09/07/23 7:22:00 PM,C,16.5
09/07/23 7:52:00 PM,C,16.5
09/07/23 8:22:00 PM,C,16.5
09/07/23 8:52:00 PM,C,16.5
09/07/23 9:22:00 PM,C,16
09/07/23 9:52:00 PM,C,16
09/07/23 10:22:00 PM,C,16
09/07/23 10:52:00 PM,C,16
09/07/23 11:22:00 PM,C,16
09/07/23 11:52:00 PM,C,16
10/07/23 12:22:00 AM,C,16
10/07/23 12:52:00 AM,C,16
10/07/23 1:22:00 AM,C,16
10/07/23 1:52:00 AM,C,16
10/07/23 2:22:00 AM,C,16
10/07/23 2:52:00 AM,C,16
10/07/23 3:22:00 AM,C,16
10/07/23 3:52:00 AM,C,15.5
10/07/23 4:22:00 AM,C,15.5
10/07/23 4:52:00 AM,C,15.5
10/07/23 5:22:00 AM,C,15.5
10/07/23 5:52:00 AM,C,15.5
10/07/23 6:22:00 AM,C,15.5
10/07/23 6:52:00 AM,C,15.5
10/07/23 7:22:00 AM,C,15.5
10/07/23 7:52:00 AM,C,15.5
10/07/23 8:22:00 AM,C,16
10/07/23 8:52:00 AM,C,16
10/07/23 9:22:00 AM,C,16
10/07/23 9:52:00 AM,C,16
10/07/23 10:22:00 AM,C,16
10/07/23 10:52:00 AM,C,19
10/07/23 11:22:00 AM,C,18
10/07/23 11:52:00 AM,C,17.5
10/07/23 12:22:00 PM,C,17
10/07/23 12:52:00 PM,C,17.5
10/07/23 1:22:00 PM,C,18
10/07/23 1:52:00 PM,C,17.5
10/07/23 2:22:00 PM,C,17.5
10/07/23 2:52:00 PM,C,18
10/07/23 3:22:00 PM,C,17.5
10/07/23 3:52:00 PM,C,17.5
10/07/23 4:22:00 PM,C,17.5
10/07/23 4:52:00 PM,C,17.5
10/07/23 5:22:00 PM,C,17
10/07/23 5:52:00 PM,C,17
10/07/23 6:22:00 PM,C,16.5
10/07/23 6:52:00 PM,C,16.5
10/07/23 7:22:00 PM,C,16.5
10/07/23 7:52:00 PM,C,16
10/07/23 8:22:00 PM,C,16
10/07/23 8:52:00 PM,C,16
10/07/23 9:22:00 PM,C,15.5
10/07/23 9:52:00 PM,C,15.5
10/07/23 10:22:00 PM,C,15.5
10/07/23 10:52:00 PM,C,15.5
10/07/23 11:22:00 PM,C,15.5
10/07/23 11:52:00 PM,C,15.5
11/07/23 12:22:00 AM,C,15.5
11/07/23 12:52:00 AM,C,15.5
11/07/23 1:22:00 AM,C,15
11/07/23 1:52:00 AM,C,15
11/07/23 2:22:00 AM,C,15
11/07/23 2:52:00 AM,C,15
11/07/23 3:22:00 AM,C,15
11/07/23 3:52:00 AM,C,15
11/07/23 4:22:00 AM,C,15
11/07/23 4:52:00 AM,C,15
11/07/23 5:22:00 AM,C,14.5
11/07/23 5:52:00 AM,C,14.5
11/07/23 6:22:00 AM,C,14.5
11/07/23 6:52:00 AM,C,14.5
11/07/23 7:22:00 AM,C,14.5
11/07/23 7:52:00 AM,C,14.5
11/07/23 8:22:00 AM,C,14.5
11/07/23 8:52:00 AM,C,14.5
11/07/23 9:22:00 AM,C,14.5
11/07/23 9:52:00 AM,C,15
11/07/23 10:22:00 AM,C,15
11/07/23 10:52:00 AM,C,15
11/07/23 11:22:00 AM,C,15.5
11/07/23 11:52:00 AM,C,16
11/07/23 12:22:00 PM,C,16
11/07/23 12:52:00 PM,C,16.5
11/07/23 1:22:00 PM,C,17
11/07/23 1:52:00 PM,C,17
11/07/23 2:22:00 PM,C,17
11/07/23 2:52:00 PM,C,16.5
11/07/23 3:22:00 PM,C,16.5
11/07/23 3:52:00 PM,C,16
11/07/23 4:22:00 PM,C,16.5
11/07/23 4:52:00 PM,C,16.5
11/07/23 5:22:00 PM,C,16.5
11/07/23 5:52:00 PM,C,16.5
11/07/23 6:22:00 PM,C,16
11/07/23 6:52:00 PM,C,15.5
11/07/23 7:22:00 PM,C,15.5
11/07/23 7:52:00 PM,C,15.5
11/07/23 8:22:00 PM,C,15
