Band,ATY or Chick,Site,Burrow,Date Measured,New Band or Recapture,Mass (g),Wing Chord (mm),Tarsus Length (mm),Notes,
140167061,ATY,Ditch,13,25-May,Recapture,45.6,160,25.1,,
246119286,ATY,Ditch,14,25-May,Recapture,45,167,22.5,,
140181914,ATY,Ditch,41,25-May,Recapture,49.5,161,24.2,,
246109140,ATY,Ditch,239,26-May,Recapture,51.4,159,25.3,,
790111041,ATY,Ditch,239,26-May,Recapture,42.5,165,22.9,,
246109036,ATY,Ditch,207,26-May,Recapture,50.2,165,24.3,,
246109157,ATY,Ditch,847,26-May,Recapture,48,164,23.9,,
790118822,ATY,Ditch,296,26-May,Recapture,50.8,162,23.4,,
246109430,ATY,Ditch,850,26-May,New Band,39.2,163,23.6,,
246109385,ATY,Ditch,312,26-May,Recapture,45.3,161,25.1,,
246109431,ATY,Ditch,312,26-May,New Band,43.4,170,25.3,,
246109432,ATY,Ditch,326,26-May,New Band,45.6,162,23.5,,
140163381,ATY,Ditch,74,26-May,Recapture,43.1,156,25.2,,
246109433,ATY,Ditch,56,26-May,New Band,44.5,163,24.6,,
246109434,ATY,Ditch,56,26-May,New Band,46.4,165,24.5,,
246109401,ATY,Ditch,325,26-May,Recapture,44.4,166,23.9,,
246109389,ATY,Ditch,319,26-May,Recapture,47.2,162,24.7,,
246109435,ATY,Ditch,318,26-May,New Band,58.5,169,25,,
246109388,ATY,Ditch,318,26-May,Recapture,41.4,158,23.8,,
140173775,ATY,Ditch,313,26-May,Recapture,42.6,159,24.8,,
246109311,ATY,Shire,929,26-May,Recapture,45.9,162,24.3,,
140163333,ATY,Shire,929,26-May,Recapture,43.4,167,24.3,,
790118789,ATY,Shire,725,26-May,Recapture,42.2,158,24.6,,
140181554,ATY,Shire,175,26-May,Recapture,47.3,166,25.6,,
246109325,ATY,Shire,286,26-May,Recapture,41.9,162,23.5,,
246109441,ATY,Shire,286,26-May,New Band,41,166,23.7,,
246109327,ATY,Shire,273,26-May,Recapture,43.1,159,23.5,,
246109161,ATY,Ditch,248,27-May,Recapture,48.4,163,24.3,,
246109436,ATY,Ditch,248,27-May,New Band,42.2,164,24.1,,
246109400,ATY,Ditch,279,27-May,Recapture,42.6,157,23.3,,
246109394,ATY,Ditch,311,27-May,Recapture,47.7,165,24.8,,
246109383,ATY,Ditch,311,27-May,Recapture,35.2,158,23.7,,
246109275,ATY,Ditch,323,27-May,Recapture,48.6,162,24.8,,
246109437,ATY,Ditch,858,27-May,New Band,46.3,161,23.7,,
246109176,ATY,Ditch,314,27-May,Recapture,43.3,164,24.2,,
790110516,ATY,Shire,953,27-May,Recapture,45.9,160,23.3,,
140163420,ATY,Ditch,850,28-May,Recapture,42.8,157,23.9,,
246109181,ATY,Ditch,857,28-May,Recapture,43.6,159,23.7,,
246109395,ATY,Ditch,319,28-May,Recapture,46.2,165,24.4,,
140167042,ATY,Ditch,40,28-May,Recapture,50.1,162,23.9,,
140167062,ATY,Ditch,40,28-May,Recapture,45.8,158,24.4,,
246109438,ATY,Ditch,847,29-May,New Band,39.2,158,22.6,,
246109386,ATY,Ditch,313,29-May,Recapture,53.2,164,24.4,,
246109397,ATY,Ditch,858,29-May,Recapture,44.6,165,24.9,,
790118831,ATY,Ditch,215,30-May,Recapture,49.1,165,24.7,,
246108820,ATY,Ditch,74,2-Jun,Recapture,42.7,166,24.2,,
790111378,ATY,Shire,175,2-Jun,Recapture,47.7,159,24,,
246109439,ATY,North End,GC1,2-Jun,New Band,45.2,164,24.7,,
246109440,ATY,North End ,GC2,2-Jun,New Band,46.5,168,24.3,,
246109442,ATY,North End,GC3,2-Jun,New Band,45.6,161,23.5,,
246109443,ATY,North End ,GC4,2-Jun,New Band,43.1,162,22.9,,
246109444,ATY,North End,GC4,2-Jun,New Band,45.9,159,24,,
246109445,ATY,North End ,GC5,2-Jun,New Band,43.9,163,24.7,,
246109446,ATY,North End,GC5,2-Jun,New Band,44.5,164,24.3,,
246109447,ATY,North End ,GC6,2-Jun,New Band,53.8,162,24.3,,
246109448,ATY,North End,GC7,2-Jun,New Band,45.1,164,24.6,,
246109449,ATY,North End ,GC8,2-Jun,New Band,46.9,163,23.3,,
140181889,ATY,Ditch,207,3-Jun,Recapture,46.7,160,24.4,,
140163369,ATY,Ditch,296,3-Jun,Recapture,44.1,164,24.1,,
246109402,ATY,Ditch,324,3-Jun,Recapture,43.4,161,24.1,,
140167006,ATY,Ditch,925,3-Jun,Recapture,42.1,164,23.9,,
246109450,ATY,North End,CG9,3-Jun,New Band,44.2,163,23.4,,
246109451,ATY,North End,GC9,3-Jun,New Band,42,163,24.7,,
246109452,ATY,North End,GC10,3-Jun,New Band,45.9,158,23.5,,
246109390,ATY,Ditch,320,6-Jun,Recapture,46.2,167,24.8,,
246109399,ATY,Ditch,323,6-Jun,Recapture,43.8,168,25.5,,
140163383,ATY,Ditch,96,14-Jun,Recapture ,50,160,25.7,,
246109457,ATY,Ditch,328,14-Jun,New Band,50,160,25.5,,
140167067,ATY,Ditch,100,14-Jun,Recapture,50,166,24.2,,
140167097,ATY,Ditch,330,14-Jun,Recapture,41,157,23.5,,
246109458,ATY,Ditch,231,14-Jun,New Band,48,162,23.7,,
790118831,ATY,Ditch,215,14-Jun,Recapture,49.1,165,24.7,,
246109459,ATY,Ditch,284,14-Jun,New Band,49,164,24.5,,
790118875,ATY,Ditch,220,14-Jun,Recapture,53.7,163,24,,
140163382,ATY,Ditch,89,14-Jun,Recapture,44,160,25,,
140163425,ATY,Ditch,41,14-Jun,Recapture,49.5,161,24.2,,
140167037,ATY,Ditch,68,14-Jun,Recapture,49,160,22.7,,
140163426,ATY,Ditch,320,15-Jun,Recapture ,50,161,23.5,,
246109277,ATY,Ditch,924,15-Jun,Recapture,52,165,24.4,,
246109457,ATY,Ditch,328,16-Jun,New Band,55,157,24.3,,
790118603,ATY,Ditch,100,15-Jun,Recapture,54,163,24.9,,
246109472,ATY,Ditch,252,16-Jun,New Band,47,165,23.6,,
246109059,ATY,Ditch,89,16-Jun,Recapture,56,160,23.2,,
246109473,ATY,Ditch,235,16-Jun,New Band,58,157,24.8,,
140167029,ATY,Ditch,13,16-Jun,Recapture ,56,160,24.1,,
246109474,ATY,Ditch,243,17-Jun,New Band,50,158,25,,
140163350,ATY,Ditch,96,17-Jun,Recapture,52,148,24.2,,
246109475,ATY,Ditch,923,17-Jun,New Band,50,158,24.3,,
246109476,ATY,Ditch,330,17-Jun,New Band,48,154,23,,
140167023,ATY,Ditch,234,17-Jun,Recapture ,52,163,25.2,,
790111011,ATY,Ditch,332,17-Jun,Recapture ,57,153,25.6,,
140163364,ATY,Ditch,215,17-Jun,Recapture,59,161,25.2,,
246109477,ATY,Ditch,284,17-Jun,New Band,52,161,26.5,,
146067014,ATY,Ditch,908,17-Jun,Recapture ,55,156,24.4,,
140163407,ATY,Ditch,302,17-Jun,Recapture,47,165,24.8,,
246108821,ATY,Ditch,75,17-Jun,Recapture ,46,161,23.1,,
246109479,ATY,Ditch,921,17-Jun,New Band,50.5,158,24.3,,
246109479,ATY,Ditch,266,17-Jun,New Band,51,151,24.2,,
246109480,ATY,Ditch,340,17-Jun,New Band,49,156,25.2,,
140181683,ATY,Shire,827,14-Jun,Recapture,47.9,160,22.5,,
140181970,ATY,Shire,827,15-Jun,Recapture,53.2,155,23.2,,
790118760,ATY,Shire,758,16-Jun,Recapture,54.5,163,24.5,,
246109307,ATY,Shire,620,10-Jun,Recapture,46.9,159,22.6,,
246109455,ATY,Shire,620,14-Jun,Recapture,52.8,160,23.6,,
140163417,ATY,Shire,608,10-Jun,Recapture,41.6,162,23.2,,
246108711,ATY,Shire,608,11-Jun,Recapture,52,166,23.2,,
246109456,ATY,Shire,651,14-Jun,New Band,51.5,156,24.6,,
